	EWsiteHyd_index	Sample	MG_name	Index	Location	Pl_Sp	EWcoastGroup	SALTgroup	LU	Depth	EW.no	iTag_name.x	Site_indx	Salinity.x	Bulk_dens	H2O_FPS	CO2_mg_m2_h	CO2_soilC_mg_g_d	CH4_ug_m2_h	CH4_CO2	CH4_soilC_ug_g_d	pH	Cl	SO4	Corg_LOI	C	N	P	NO3_N	NH4_N	Olsen_P	CN	CP	NP	NP_ext	NO3_NH4	C_g_m2	N_g_m2	P_g_m2	Fe	Mn	Cu	Zn	Salinity.y	CO2_mg_m2_h	CH4_ug_m2_h	Cl_pw	SO4_pw	DOC_mg_L	NO2_pw	NO3_pw	NH3_pw	PO4_pw	Fe_pw	Mn_pw	Co_pw	Cu_pw	Zn_pw	Ca_pw	Sr_pw	Mg_pw	Na_pw	K_pw	Al_pw	Si_pw	Br_pw	F_pw
39	39	MayberrySE_TuleA_D2	NA	103	Mayberry	Tule	SF_Rest	Oligo	Pond	d2	103	s103_MayberrySE_TuleA_D2	39	1.415937623	0.606951283	60.45283237	11.97962133	0.025243637	1271.185986	10.61123679	2.678662117	7.37	43.25	53.3	12.51	13.36	0.902	0.077	0.47	41.69	14.5	16.17397375	418.9717218	25.90406837	1212.061057	0.011273687	11389.44082	821.2050857	70.10287317	30230	395	48	65	1.42	11.97962133	1271.185986	1182.756	36.954	49.05	1.636	NA	1.036333333	1.206	192.86	815.47	1.52	14.38	1.67	163942.64	1556.4	106259.77	567078.07	NA	24.63	10326.12	4.776	0.328
40	40	MayberrySE_TuleB_D1	NA	21	Mayberry	Tule	SF_Rest	Oligo	Pond	d1	21	s021_MayberrySE_TuleB_D1	40	2.578450297	0.695939967	60.73183979	5.380324547	0.010672674	216.8001784	4.029500014	0.430055399	7.25	63.52	233.5	11.59	15	0.969	0.074	0.26	21.69	10	13.94843942	403.8962708	28.95637702	656.6250176	0.011987091	12098.91632	1011.548742	77.2493363	28780	490	54	61	2.58	5.380324547	216.8001784	916.606	20.146	39.31	0.982	NA	5.448666667	4.246	168.38	420.38	0.61	6.2	NA	98718.77	713.66	74038.52	426299.48	4972.93	25.12	11622.92	3.412	0.296
41	41	MayberrySE_TuleB_D2	NA	104	Mayberry	Tule	SF_Rest	Oligo	Pond	d2	104	s104_MayberrySE_TuleB_D2	41	2.578450297	0.762406143	54.08522213	5.380324547	0.00953653	216.8001784	4.029500014	0.384274467	7.61	45.6	49.3	11.84	12.47	0.826	0.075	0.3	27.2	22	16.71620224	407.1069964	24.35403632	811.6822541	0.011029412	13540.33311	944.6212115	85.77069112	28780	490	54	61	2.58	5.380324547	216.8001784	916.606	20.146	39.31	0.982	NA	5.448666667	4.246	168.38	420.38	0.61	6.2	NA	98718.77	713.66	74038.52	426299.48	4972.93	25.12	11622.92	3.412	0.296
42	42	MayberrySE_TuleC_D1	NA	22	Mayberry	Tule	SF_Rest	Oligo	Pond	d1	22	s022_MayberrySE_TuleC_D1	42	2.473956295	0.50162598	67.31421232	5.751284558	0.013971405	141.648857	2.462908165	0.344102882	7	74.54	443.9	13.13	15.28	1.084	0.076	0.29	21.75	7.2	14.12542116	445.5221091	31.54044782	641.9668737	0.013333333	9879.523678	815.6438437	57.18536173	29780	471	45	62	2.47	5.751284558	141.648857	755.51	0.531	70.43	NA	NA	11.90333333	5.414	502.3	575.75	1.09	5.55	NA	110095.06	685.23	63993.07	372911.34	3158.56	34.08	20753.45	3.123	0.7355
43	43	MayberrySE_TuleC_D2	NA	105	Mayberry	Tule	SF_Rest	Oligo	Pond	d2	105	s105_MayberrySE_TuleC_D2	43	2.473956295	0.651996297	52.2771806	5.751284558	0.011511959	141.648857	2.462908165	0.283528981	7.35	47.04	85.5	12.26	12.93	0.863	0.079	0.29	24.96	22.1	16.56706729	400.2040745	24.15660343	707.5366024	0.01161859	11990.21191	844.0092069	77.26156123	29780	471	45	62	2.47	5.751284558	141.648857	755.51	0.531	70.43	NA	NA	11.90333333	5.414	502.3	575.75	1.09	5.55	NA	110095.06	685.23	63993.07	372911.34	3158.56	34.08	20753.45	3.123	0.7355
44	44	MayberrySE_CattailA_D1	MayberrySE_CattailA_D1	23	Mayberry	Cattail	SF_Rest	Oligo	Pond	d1	23	s023_MayberrySE_CattailA_D1	44	1.958439419	0.481654922	69.3113181	1.609794453	0.003476947	16.11249201	1.000903686	0.034800891	6.88	36.69	349.7	15.38	16.95	1.219	0.077	0.39	27.21	8.6	14.71358802	515.0907339	35.00782633	793.4745058	0.014332966	11111.77906	880.7060255	55.63114353	27920	571	40	53	1.96	1.609794453	16.11249201	670.022	138.55	17.59	1.208	NA	2.077333333	1.866	359.11	259.67	1.12	5.94	9.46	73850.47	452.83	51682.37	331733.17	732.95	20.59	9269.13	2.236	0.176
45	45	MayberrySE_CattailA_D2	MayberrySE_CattailA_D2	106	Mayberry	Cattail	SF_Rest	Oligo	Pond	d2	106	s106_MayberrySE_CattailA_D2	45	1.958439419	0.61322895	56.15391534	1.609794453	0.00311586	16.11249201	1.000903686	0.031186753	7.44	21.4	45.1	13.48	14.78	0.964	0.083	0.23	21.09	22.8	16.30717831	418.8224248	25.68331669	568.777969	0.010905642	12399.48937	886.7290616	76.34700427	27920	571	40	53	1.96	1.609794453	16.11249201	670.022	138.55	17.59	1.208	NA	2.077333333	1.866	359.11	259.67	1.12	5.94	9.46	73850.47	452.83	51682.37	331733.17	732.95	20.59	9269.13	2.236	0.176
46	46	MayberrySE_CattailB_D1	MayberrySE_CattailB_D1	24	Mayberry	Cattail	SF_Rest	Oligo	Pond	d1	24	s024_MayberrySE_CattailB_D1	46	1.519552185	0.494577371	68.01907318	6.194815731	0.013064379	599.8095971	9.682444533	1.264951258	6.52	23.91	487.8	15.34	17.78	1.282	0.072	0.29	29.42	9	13.95414708	549.4282556	39.37383292	913.4499913	0.00985724	11380.22532	951.0722854	53.41435612	27840	426	45	59	1.52	6.194815731	599.8095971	1112.359	106.7045	43.49	0.292	NA	7.413333333	5.332	387.74	426.6	0.62	8.56	2.23	107328.02	751.71	78058.07	558319.95	2159.6	33.55	18644.98	3.9305	0.3025
47	47	MayberrySE_CattailB_D2	NA	107	Mayberry	Cattail	SF_Rest	Oligo	Pond	d2	107	s107_MayberrySE_CattailB_D2	47	1.519552185	0.634374776	54.03933275	6.194815731	0.011104739	599.8095971	9.682444533	1.075210234	6.99	18.52	55.8	14.07	14.27	0.969	0.083	0.17	21.05	22.1	16.93309255	437.1536734	25.81652891	565.9550087	0.00807601	13388.47964	922.0637366	78.97965959	27840	426	45	59	1.52	6.194815731	599.8095971	1112.359	106.7045	43.49	0.292	NA	7.413333333	5.332	387.74	426.6	0.62	8.56	2.23	107328.02	751.71	78058.07	558319.95	2159.6	33.55	18644.98	3.9305	0.3025
48	48	MayberrySE_CattailC_D1	NA	25	Mayberry	Cattail	SF_Rest	Oligo	Pond	d1	25	s025_MayberrySE_CattailC_D1	48	1.500152135	0.473486613	75.63487453	1.422356628	0.003162112	8.938580171	0.628434529	0.019871801	6.9	47.46	406.7	15.2	17.45	1.25	0.08	0.17	18.52	6.4	14.18076097	489.9725252	34.55192047	517.1707271	0.009179266	10795.49477	887.7873992	56.81839355	27800	450	45	58	1.5	1.422356628	8.938580171	772.078	166.938	30.81	0.1665	NA	4.846666667	1.114	184.94	124.81	0.67	6.79	5.66	93819.99	637.3	66109.26	376886.33	5562.82	22.74	14847.33	2.839	0.2785
49	49	MayberrySE_CattailC_D2	NA	108	Mayberry	Cattail	SF_Rest	Oligo	Pond	d2	108	s108_MayberrySE_CattailC_D2	49	1.500152135	0.660421587	56.94137708	1.422356628	0.002717615	8.938580171	0.628434529	0.017078433	7.49	37.11	50.5	12.68	13.89	0.919	0.079	0.29	20.04	14.4	16.09050608	413.9141652	25.72412347	569.6720446	0.014471058	12561.21859	910.3911581	78.2599581	27800	450	45	58	1.5	1.422356628	8.938580171	772.078	166.938	30.81	0.1665	NA	4.846666667	1.114	184.94	124.81	0.67	6.79	5.66	93819.99	637.3	66109.26	376886.33	5562.82	22.74	14847.33	2.839	0.2785
50	50	MayberryNW_TuleA_D1	MayberryNW_TuleA_D1	26	Mayberry	Tule	SF_Rest	Oligo	Pond	d1	26	s026_MayberryNW_TuleA_D1	50	3.2	0.530940115	66.21837395	10.67432117	0.022276529	507.6657121	4.755953133	1.059461261	5.95	74.18	61.3	14.44	16.15	1.188	0.088	0.22	12.22	8.3	14.17479264	423.1580899	29.85285928	312.9336955	0.018003273	11500.1629	946.1352857	70.08409524	32970	417	44	66	3.23	10.67432117	507.6657121	1951.528	31.102	91.03	1.798	NA	0.049833333	NA	213.49	440.02	1.44	10.44	13.16	186636.96	1966.99	166242.35	976662.06	17709.77	23.66	9435.85	8.148	0.65
51	52	MayberryNW_TuleA_D2	MayberryNW_TuleA_D2	109	Mayberry	Tule	SF_Rest	Oligo	Pond	d2	109	s109_MayberryNW_TuleA_D2	51	3.2	0.612072538	58.10513174	10.67432117	0.018981915	507.6657121	4.755953133	0.902770971	5.94	76.29	30.8	14.7	15.65	1.076	0.103	0.18	14.08	18.5	15.93202668	368.0427246	23.10081021	306.476318	0.012784091	13496.19945	987.8850757	94.56520706	32970	417	44	66	3.23	10.67432117	507.6657121	1951.528	31.102	91.03	1.798	NA	0.049833333	NA	213.49	440.02	1.44	10.44	13.16	186636.96	1966.99	166242.35	976662.06	17709.77	23.66	9435.85	8.148	0.65
52	53	MayberryNW_TuleB_D1	MayberryNW_TuleB_D1	27	Mayberry	Tule	SF_Rest	Oligo	Pond	d1	27	s027_MayberryNW_TuleB_D1	52	3.3	0.491053067	68.37150361	13.84094104	0.029322489	1679.90338	12.13720494	3.558930631	6.2	75.98	153.9	15.38	17	1.288	0.108	0.19	57.69	8.6	13.92536009	367.2406159	26.37207322	1186.367901	0.003293465	11328.59426	948.7145258	79.55059688	31850	476	41	61	3.31	13.84094104	1679.90338	1028.214	25.446	53.9	0.466	NA	NA	NA	102.42	3.25	0.8	6.46	NA	141550.45	1009.16	95313.91	515583.57	18008.51	21.25	8480.81	4.63	0.454
53	54	MayberryNW_TuleB_D2	MayberryNW_TuleB_D2	110	Mayberry	Tule	SF_Rest	Oligo	Pond	d2	110	s110_MayberryNW_TuleB_D2	53	3.3	0.608529878	56.62382258	13.84094104	0.023941982	1679.90338	12.13720494	2.905887472	6.48	60.22	42	15.2	16.03	1.089	0.102	0.2	67.44	23.2	16.27727384	384.2921766	23.60912401	1468.37535	0.002965599	13874.48121	994.0335549	93.10507126	31850	476	41	61	3.31	13.84094104	1679.90338	1028.214	25.446	53.9	0.466	NA	NA	NA	102.42	3.25	0.8	6.46	NA	141550.45	1009.16	95313.91	515583.57	18008.51	21.25	8480.81	4.63	0.454
54	55	MayberryNW_TuleC_D1	MayberryNW_TuleC_D1	28	Mayberry	Tule	SF_Rest	Oligo	Pond	d1	28	s028_MayberryNW_TuleC_D1	54	3	0.564494429	66.53409288	1.856553198	0.003690185	164.9451193	8.884481171	0.327853833	6.63	60.63	101.9	14.26	16.82	1.19	0.082	0.13	39.17	6.6	13.97457233	448.4600904	32.09114955	1060.946095	0.003318866	12074.53584	1007.622556	69.43281482	30100	387	42	61	2.97	1.856553198	164.9451193	1527.576	17.3	74.55	1.588	NA	2.421666667	NA	435.05	633.29	0.76	6.27	NA	143436.13	1110.96	123036.21	777787.29	28824.74	26.57	11693.96	6.646	0.45
55	56	MayberryNW_TuleC_D2	MayberryNW_TuleC_D2	111	Mayberry	Tule	SF_Rest	Oligo	Pond	d2	111	s111_MayberryNW_TuleC_D2	55	3	0.639514386	59.03209719	1.856553198	0.003172751	164.9451193	8.884481171	0.281882462	6.48	58.41	47.2	14.64	14.78	1.037	0.083	0.22	23.33	13.9	16.46373178	454.8635237	27.62821515	628.0980422	0.009429919	14043.73592	994.7646278	79.61954109	30100	387	42	61	2.97	1.856553198	164.9451193	1527.576	17.3	74.55	1.588	NA	2.421666667	NA	435.05	633.29	0.76	6.27	NA	143436.13	1110.96	123036.21	777787.29	28824.74	26.57	11693.96	6.646	0.45
56	57	MayberryNW_CattailA_D1	MayberryNW_CattailA_D1	29	Mayberry	Cattail	SF_Rest	Oligo	Pond	d1	29	s029_MayberryNW_CattailA_D1	56	3.7	0.422218999	71.58376015	9.783608475	0.022661986	775.7762525	7.929346871	1.796947517	6.33	81.76	180.9	16.36	18.03	1.26	0.102	0.2	22.8	12.9	15.1418422	413.6197375	27.31634183	499.1628835	0.00877193	10361.25423	797.9939074	64.59950679	29870	412	40	61	3.72	9.783608475	775.7762525	1200.494	13.7775	125.3	NA	1.309	NA	NA	261.83	992.74	2.76	7.17	1.23	208159.83	1998.78	142815.83	559893.14	14412.34	22.26	13371.21	7.0095	0.7895
57	58	MayberryNW_CattailA_D2	MayberryNW_CattailA_D2	112	Mayberry	Cattail	SF_Rest	Oligo	Pond	d2	112	s112_MayberryNW_CattailA_D2	57	3.7	0.541714942	59.63416584	9.783608475	0.01794826	775.7762525	7.929346871	1.423179808	6.37	57.69	47.4	16.1	15.73	1.087	0.112	0.19	17.89	22.8	17.27278207	370.7028973	21.4616786	357.3510184	0.010620458	13082.41584	883.2662123	91.0081102	29870	412	40	61	3.72	9.783608475	775.7762525	1200.494	13.7775	125.3	NA	1.309	NA	NA	261.83	992.74	2.76	7.17	1.23	208159.83	1998.78	142815.83	559893.14	14412.34	22.26	13371.21	7.0095	0.7895
58	59	MayberryNW_CattailB_D1	MayberryNW_CattailB_D1	30	Mayberry	Cattail	SF_Rest	Oligo	Pond	d1	30	s030_MayberryNW_CattailB_D1	58	3.7	0.444062343	71.23500086	19.22591127	0.042999898	868.7915088	4.518857372	1.94310408	6.39	114.07	232.4	16.11	17.44	1.265	0.115	0.18	27.07	11.4	14.85152247	361.2566307	24.32455201	524.5456464	0.006649427	10730.76652	842.6082959	76.60075418	32530	475	43	63	3.74	19.22591127	868.7915088	2109.3955	4.2655	152.1	NA	NA	14.29666667	NA	907.66	1122.42	2.52	9.5	NA	220804.16	2224.65	188097.06	1066717.9	23214.02	32.83	22082.9	10.6235	0.9475
59	60	MayberryNW_CattailB_D2	MayberryNW_CattailB_D2	113	Mayberry	Cattail	SF_Rest	Oligo	Pond	d2	113	s113_MayberryNW_CattailB_D2	59	3.7	0.586301062	57.01112894	19.22591127	0.036870696	868.7915088	4.518857372	1.666134162	6.53	75.2	40.4	14.23	15.1	1.019	0.101	0.2	39.39	19.9	16.28533429	363.33033	22.31027768	867.7182837	0.005077431	12514.59618	896.1611737	88.82461094	32530	475	43	63	3.74	19.22591127	868.7915088	2109.3955	4.2655	152.1	NA	NA	14.29666667	NA	907.66	1122.42	2.52	9.5	NA	220804.16	2224.65	188097.06	1066717.9	23214.02	32.83	22082.9	10.6235	0.9475
60	61	MayberryNW_CattailC_D1	MayberryNW_CattailC_D1	31	Mayberry	Cattail	SF_Rest	Oligo	Pond	d1	31	s031_MayberryNW_CattailC_D1	60	3.2	0.498468791	63.95878092	16.26307373	0.032504171	1304.652219	8.022174902	2.607541485	6.27	82.12	138.1	16.06	17.1	1.235	0.085	0.12	10.69	9.5	15.16507439	487.2420281	32.1292211	281.5278663	0.011225444	12008.11317	923.413435	63.55477083	30990	472	43	63	3.18	16.26307373	1304.652219	1552.917	23.5405	94.79	NA	0.4365	NA	NA	119.59	36.14	1.44	10.28	NA	193011.09	1780.33	124685.81	743017.54	14087.7	24.41	9083.47	7.3225	0.892
61	62	MayberryNW_CattailC_D2	MayberryNW_CattailC_D2	114	Mayberry	Cattail	SF_Rest	Oligo	Pond	d2	114	s114_MayberryNW_CattailC_D2	61	3.2	0.592927489	54.51291114	16.26307373	0.029101789	1304.652219	8.022174902	2.33459641	6.37	60.94	34	15.08	15.24	1.049	0.09	0.195	15.72	16.9	16.7645467	432.0927298	25.77419703	391.5595238	0.01240458	13412.01979	932.9714034	80.04521097	30990	472	43	63	3.18	16.26307373	1304.652219	1552.917	23.5405	94.79	NA	0.4365	NA	NA	119.59	36.14	1.44	10.28	NA	193011.09	1780.33	124685.81	743017.54	14087.7	24.41	9083.47	7.3225	0.892
62	63	Browns_TuleA_D1	Browns_TuleA_D1	31.5	Browns	Tule	SF_Ref	Oligo	Ref	d1	31.5	NA	62	2.601674251	0.497532648	69.55912074	1.092512646	0.005788102	1.091748797	0.099930083	0.005784055	5.74	62.39	106	6.07	5.39	0.389	0.09	0.25	15.64	24.8	18.19722024	173.9259198	9.557829022	390.8373036	0.015984655	4530.034756	290.3102998	67.16690741	42340	927	62	120	2.6	1.092512646	1.091748797	1410.092	173.628	9.053	0.8	NA	4.619333333	NA	840.98	8536.98	5.16	13.35	8.48	74944.69	699.85	94484.69	701808.98	19522.06	20.28	12061.2	4.468	0.276
63	64	Browns_TuleA_D2	Browns_TuleA_D2	115	Browns	Tule	SF_Ref	Oligo	Ref	d2	115	s115_Browns_TuleA_D2	63	2.601674251	0.497532648	69.55912074	1.092512646	0.005788102	1.091748797	0.099930083	0.005784055	5.74	62.39	106	6.07	5.39	0.389	0.09	0.25	15.64	24.8	18.19722024	173.9259198	9.557829022	390.8373036	0.015984655	4530.034756	290.3102998	67.16690741	42340	927	62	120	2.6	1.092512646	1.091748797	1410.092	173.628	9.053	0.8	NA	4.619333333	NA	840.98	8536.98	5.16	13.35	8.48	74944.69	699.85	94484.69	701808.98	19522.06	20.28	12061.2	4.468	0.276
64	65	Browns_TuleB_D1	Browns_TuleB_D1	32	Browns	Tule	SF_Ref	Oligo	Ref	d1	32	s032_Browns_TuleB_D1	64	2.879273163	0.388536194	73.11646541	2.701849321	0.015158407	1.851068939	0.068511183	0.010385204	6.05	71.29	126.5	7.34	7.23	0.524	0.098	0.15	12.59	14.8	16.33543616	193.1470642	11.82380821	287.7782537	0.011914218	4277.783501	305.3894488	57.11482058	43100	1315	61	116	2.88	2.701849321	1.851068939	1472.661	197.094	8.675	2.6365	1.6995	1.971333333	NA	43.23	17.23	0.22	15.07	6.84	61483.98	534.32	84484.99	719536.26	19647.19	21.09	9866.08	4.777	0.41
65	66	Browns_TuleB_D2	Browns_TuleB_D2	116	Browns	Tule	SF_Ref	Oligo	Ref	d2	116	s116_Browns_TuleB_D2	65	2.879273163	0.418768117	70.09327311	2.701849321	0.014559996	1.851068939	0.068511183	0.009975226	5.66	80.26	134.7	7.09	5.92	0.411	0.094	0.56	8.68	18.8	20.11733162	194.5075702	9.668656553	217.5999234	0.064516129	4453.598928	258.1705443	59.04630454	43100	1315	61	116	2.88	2.701849321	1.851068939	1472.661	197.094	8.675	2.6365	1.6995	1.971333333	NA	43.23	17.23	0.22	15.07	6.84	61483.98	534.32	84484.99	719536.26	19647.19	21.09	9866.08	4.777	0.41
66	67	Browns_TuleC_D1	Browns_TuleC_D1	33	Browns	Tule	SF_Ref	Oligo	Ref	d1	33	s033_Browns_TuleC_D1	66	2.741693348	0.352705767	80.37065844	0.966941824	0.005496736	0.781500622	0.080821886	0.004442566	6.21	82.66	137.7	7.98	8.38	0.557	0.095	0.13	13.4	15.4	16.70758418	216.6194322	12.96533538	315.2744755	0.009701493	4221.888034	294.6856686	50.26057184	33960	425	63	115	2.74	0.966941824	0.781500622	1815.0105	205.3085	8.609	3.3435	2.044	0.064666667	NA	7.32	0.71	0.17	17.08	5.9	74802.18	707.15	107983.69	870858.57	22817.17	17.8	9152.4	5.843	0.231
67	68	Browns_TuleC_D2	Browns_TuleC_D2	117	Browns	Tule	SF_Ref	Oligo	Ref	d2	117	s117_Browns_TuleC_D2	67	2.741693348	0.402431498	75.39808533	0.966941824	0.005988159	0.781500622	0.080821886	0.004839743	6.13	73.58	128.2	6.42	5.78	0.397	0.074	0.405	10.58	10.3	18.8586449	223.7285641	11.86344858	328.7017375	0.038279773	3875.41533	239.6479573	44.66989632	33960	425	63	115	2.74	0.966941824	0.781500622	1815.0105	205.3085	8.609	3.3435	2.044	0.064666667	NA	7.32	0.71	0.17	17.08	5.9	74802.18	707.15	107983.69	870858.57	22817.17	17.8	9152.4	5.843	0.231
68	69	Browns_ThreeSqA_D1	Browns_ThreeSqA_D1	34	Browns	ThreeSq	SF_Ref	Oligo	Ref	d1	34	s034_Browns_ThreeSqA_D1	68	4.865336514	0.356835811	74.45092855	11.35477446	0.06293345	2.967183697	0.026131595	0.016445514	6.25	88.98	175.1	8.09	8.18	0.599	0.093	0.43	16.38	23.5	15.75025759	224.3281114	14.24282175	400.1284074	0.026251526	4330.202571	320.6169765	49.77859569	40070	621	57	113	4.87	11.35477446	2.967183697	1575.502	61.612	10.51	1.688	NA	0.332333333	1.656	429.71	1572.14	0.41	11.7	1.24	72503.11	685.37	100411.18	740570.67	11945.29	18.98	9933.09	4.902	0.148
69	70	Browns_ThreeSqA_D2	Browns_ThreeSqA_D2	118	Browns	ThreeSq	SF_Ref	Oligo	Ref	d2	118	s118_Browns_ThreeSqA_D2	69	4.865336514	0.371153298	73.01917992	11.35477446	0.058833115	2.967183697	0.026131595	0.015374032	6.05	98.67	175	8.32	7.18	0.5	0.095	0.42	28.53	22	19.40525185	225.8488316	11.63854163	674.5895098	0.014721346	4631.993155	278.3649732	52.88934491	40070	621	57	113	4.87	11.35477446	2.967183697	1575.502	61.612	10.51	1.688	NA	0.332333333	1.656	429.71	1572.14	0.41	11.7	1.24	72503.11	685.37	100411.18	740570.67	11945.29	18.98	9933.09	4.902	0.148
70	71	Browns_ThreeSqB_D1	Browns_ThreeSqB_D1	35	Browns	ThreeSq	SF_Ref	Oligo	Ref	d1	35	s035_Browns_ThreeSqB_D1	70	4.348960689	0.348025051	75.33200463	3.668625483	0.020223057	1.012024245	0.027585924	0.005578717	6.23	78.87	145.7	8.34	8.37	0.592	0.108	0.38	24.57	18.4	16.42896883	199.1408801	12.12132558	511.4008141	0.015466015	4353.793383	309.0462449	56.3800582	41180	514	61	122	4.35	3.668625483	1.012024245	1593.292	22.508	19.96	NA	NA	5.946666667	6.744	444.01	2940.1	0.46	11.57	NA	74038.84	713.44	103892.89	735115.74	13579.15	22.82	13861.75	5.7615	0.446
71	72	Browns_ThreeSqB_D2	Browns_ThreeSqB_D2	119	Browns	ThreeSq	SF_Ref	Oligo	Ref	d2	119	s119_Browns_ThreeSqB_D2	71	4.348960689	0.40199096	69.93541365	3.668625483	0.020085038	1.012024245	0.027585924	0.005540643	5.93	82.06	156.8	7.27	6.43	0.459	0.081	0.25	13.87	8.5	18.47088426	231.4555073	12.53082982	385.8906878	0.018024513	4383.711423	276.7707762	48.84190168	41180	514	61	122	4.35	3.668625483	1.012024245	1593.292	22.508	19.96	NA	NA	5.946666667	6.744	444.01	2940.1	0.46	11.57	NA	74038.84	713.44	103892.89	735115.74	13579.15	22.82	13861.75	5.7615	0.446
72	73	Browns_ThreeSqC_D1	Browns_ThreeSqC_D1	36	Browns	ThreeSq	SF_Ref	Oligo	Ref	d1	36	s036_Browns_ThreeSqC_D1	72	4.143776503	0.373980083	74.57207651	1.208837148	0.00700782	-0.039032977	-0.003228969	-0.00022628	6.22	82.66	143.6	7.38	7.37	0.556	0.099	0.42	15.86	15.7	15.47916508	192.2380242	12.41914685	364.0271928	0.026481715	4139.959523	311.8993895	55.53604238	43760	487	63	121	4.14	1.208837148	-0.039032977	1488.093	8.8065	19.15	NA	NA	3.240666667	3.1545	266.77	5699.23	0.48	11.23	NA	72569.68	660.33	100987.7	701542.46	15138.08	17.96	14472.26	5.8125	0.456
73	74	Browns_ThreeSqC_D2	Browns_ThreeSqC_D2	120	Browns	ThreeSq	SF_Ref	Oligo	Ref	d2	120	s120_Browns_ThreeSqC_D2	73	4.143776503	0.417648416	70.2052432	1.208837148	0.006414159	-0.039032977	-0.003228969	-0.000207111	5.98	93.98	141.9	7.22	6.51	0.461	0.088	0.6	19.2	17.6	18.26426643	211.579045	11.58431661	498.0777468	0.03125	4523.13235	288.80388	55.12959098	43760	487	63	121	4.14	1.208837148	-0.039032977	1488.093	8.8065	19.15	NA	NA	3.240666667	3.1545	266.77	5699.23	0.48	11.23	NA	72569.68	660.33	100987.7	701542.46	15138.08	17.96	14472.26	5.8125	0.456
74	75	RushSE_TuleA_D1	RushSE_TuleA_D1	42	RushRanch	Tule	SF_Rest	Meso	Ref	d1	42	s042_RushSE_TuleA_D1	74	6.368165797	0.358304272	76.1396577	1.512147379	0.009457229	23.45905848	1.551373815	0.146716975	6.94	165.13	741.1	7.14	6.74	0.544	0.104	0.243333333	27.8	29.6	15.30612563	177.0447282	11.56691984	597.0764652	0.008752998	3837.438748	292.3762856	55.89546636	47250	932	54	141	6.37	1.512147379	23.45905848	1837.17	134.596	12.19	1.318	NA	0.497666667	1.096	80	5951.83	2.21	9.07	10.53	98217.43	1089.39	120862.5	873570.11	29368.2	17.85	15237.92	5.322	0.338
75	76	RushSE_TuleA_D2	RushSE_TuleA_D2	127	RushRanch	Tule	SF_Rest	Meso	Ref	d2	127	s127_RushSE_TuleA_D2	75	6.368165797	0.425486322	69.42145261	1.512147379	0.008761608	23.45905848	1.551373815	0.135925287	6.72	149.79	751	6.49	5.93	0.443	0.066	0.17	30.62	19	17.08468328	253.5822718	14.84266741	1032.714736	0.005551927	4142.109349	282.7356612	42.12314592	47250	932	54	141	6.37	1.512147379	23.45905848	1837.17	134.596	12.19	1.318	NA	0.497666667	1.096	80	5951.83	2.21	9.07	10.53	98217.43	1089.39	120862.5	873570.11	29368.2	17.85	15237.92	5.322	0.338
76	77	RushSE_TuleB_D1	RushSE_TuleB_D1	43	RushRanch	Tule	SF_Rest	Meso	Ref	d1	43	s043_RushSE_TuleB_D1	76	6.473276176	0.311827508	82.62290917	4.661104515	0.032450912	145.4819003	3.121189405	1.012854438	7.17	233.28	644.3	7.37	7.22	0.54	0.1	0.243333333	25.94	35.5	15.91621107	190.0577637	11.94114371	579.7738095	0.009380622	3447.253106	252.5802818	46.77412626	47330	843	51	139	6.47	4.661104515	145.4819003	2489.4485	136.23	20.76	NA	NA	4.551333333	4.887	217.33	7973.61	0.84	10.96	4	113830.35	1301.26	157657.2	1171654.91	39718.65	19.81	19676.06	8.424	0.6935
77	78	RushSE_TuleB_D2	RushSE_TuleB_D2	128	RushRanch	Tule	SF_Rest	Meso	Ref	d2	128	s128_RushSE_TuleB_D2	77	6.473276176	0.393767584	74.42890165	4.661104515	0.028566388	145.4819003	3.121189405	0.891611084	6.8	179.55	730.1	6.63	6.17	0.46	0.08	0.243333333	20.23	14.4	16.80821747	213.7182791	12.71510673	566.672619	0.012028341	3916.018619	271.6996327	47.25211004	47330	843	51	139	6.47	4.661104515	145.4819003	2489.4485	136.23	20.76	NA	NA	4.551333333	4.887	217.33	7973.61	0.84	10.96	4	113830.35	1301.26	157657.2	1171654.91	39718.65	19.81	19676.06	8.424	0.6935
78	79	RushSE_TuleC_D1	RushSE_TuleC_D1	44	RushRanch	Tule	SF_Rest	Meso	Ref	d1	44	s044_RushSE_TuleC_D1	78	7.180456676	0.348722569	73.42667761	6.161317625	0.040616667	26.11238599	0.423811717	0.172138195	7.09	196.72	512.7	6.96	6.77	0.533	0.12	0.2	17.71	34.6	15.22817967	149.5705603	9.821959258	330.3915721	0.011293055	3640.663622	278.8036941	62.77006245	40220	774	52	140	7.18	6.161317625	26.11238599	3413.2325	318.9515	18.71	NA	0.2165	0.025333333	NA	19.56	4829.86	2.84	19.84	15.13	146034.22	2195.76	213406.24	1587197.8	46547.33	19.51	12212.34	11.277	0.6125
