	EWsiteHyd_index	Sample	MG_name	Index	Location	Pl_Sp	EWcoastGroup	SALTgroup	LU	Depth	EW.no	iTag_name.x	Site_indx	Salinity.x	Bulk_dens	H2O_FPS	CO2_mg_m2_h	CH4_ug_m2_h	CH4_CO2	pH	Cl	SO4	C	N	P	NO3_N	NH4_N	Olsen_P	CN	CP	NP	NP_ext	NO3_NH4	Fe	Mn	Cu	Zn	Cl_pw	SO4_pw	DOC_mg_L	Na_pw	K_pw	Ca_pw	Mn_pw	Mg_pw	Fe_pw	Cu_pw	Zn_pw
49	49	MayberrySE_CattailC_D2	NA	108.0	Mayberry	Cattail	SF_Rest	Oligo	Pond	d2	108.0	s108_MayberrySE_CattailC_D2	49	1.500152135	0.660421587331376	56.94137708276109	1.4223566280000002	8.938580171	0.6284345286574641	7.49	37.11	50.5	13.89	0.919	0.079	0.29	20.04	14.4	16.09050608215592	413.9141651798088	25.72412347171803	569.6720446286802	0.014471057884231536	27800.0	450.0	45.0	58.0	772.078	166.938	30.81	376886.33	5562.82	93819.99	124.81	66109.26	184.94	6.79	5.66
50	50	MayberryNW_TuleA_D1	MayberryNW_TuleA_D1	26.0	Mayberry	Tule	SF_Rest	Oligo	Pond	d1	26.0	s026_MayberryNW_TuleA_D1	50	3.2	0.5309401154440104	66.21837394863499	10.67432117	507.6657121	4.755953132896037	5.95	74.18	61.3	16.15	1.188	0.08800000000000001	0.22	12.22	8.3	14.17479263537044	423.15808993271315	29.852859284643387	312.9336954899174	0.01800327332242226	NA	NA	NA	NA	1951.5279999999998	31.101999999999997	91.03	976662.06	17709.77	186636.96	440.02	166242.35	213.49	10.44	13.16
51	52	MayberryNW_TuleA_D2	MayberryNW_TuleA_D2	109.0	Mayberry	Tule	SF_Rest	Oligo	Pond	d2	109.0	s109_MayberryNW_TuleA_D2	51	3.2	0.6120725375792748	58.105131735108564	10.67432117	507.6657121	4.755953132896037	5.94	76.29	30.8	15.65	1.0759999999999998	0.10300000000000001	0.18	14.08	18.5	15.932026683099355	368.042724589838	23.10081020516094	306.4763180129769	0.012784090909090908	32970.0	417.0	44.0	66.0	1951.5279999999998	31.101999999999997	91.03	976662.06	17709.77	186636.96	440.02	166242.35	213.49	10.44	13.16
52	53	MayberryNW_TuleB_D1	MayberryNW_TuleB_D1	27.0	Mayberry	Tule	SF_Rest	Oligo	Pond	d1	27.0	s027_MayberryNW_TuleB_D1	52	3.3	0.49105306718610775	68.37150361299395	13.84094104	1679.90338	12.1372049425333	6.2	75.98	153.9	17.0	1.288	0.10800000000000001	0.19	57.69	8.6	13.925360086587299	367.2406158552192	26.37207322264793	1186.3679007057317	0.003293465071936211	NA	NA	NA	NA	1028.214	25.445999999999998	53.9	515583.57	18008.51	141550.45	3.25	95313.91	102.42	6.46	NA
53	54	MayberryNW_TuleB_D2	MayberryNW_TuleB_D2	110.0	Mayberry	Tule	SF_Rest	Oligo	Pond	d2	110.0	s110_MayberryNW_TuleB_D2	53	3.3	0.6085298775177124	56.62382257983348	13.84094104	1679.90338	12.1372049425333	6.48	60.22	42.0	16.03	1.089	0.102	NA	67.44	23.2	16.277273839659834	384.2921766158799	23.609124009423862	NA	NA	31850.0	476.0	41.0	61.0	1028.214	25.445999999999998	53.9	515583.57	18008.51	141550.45	3.25	95313.91	102.42	6.46	NA
54	55	MayberryNW_TuleC_D1	MayberryNW_TuleC_D1	28.0	Mayberry	Tule	SF_Rest	Oligo	Pond	d1	28.0	s028_MayberryNW_TuleC_D1	54	3.0	0.564494429394975	66.53409287640119	1.856553198	164.94511930000002	8.884481170681758	6.63	60.63	101.9	16.82	1.19	0.08199999999999999	0.13	39.17	6.6	13.974572328306898	448.460090445547	32.091149547177636	1060.9460948968028	0.0033188664794485574	NA	NA	NA	NA	1527.576	17.3	74.55	777787.29	28824.74	143436.13	633.29	123036.21	435.05	6.27	NA
55	56	MayberryNW_TuleC_D2	MayberryNW_TuleC_D2	111.0	Mayberry	Tule	SF_Rest	Oligo	Pond	d2	111.0	s111_MayberryNW_TuleC_D2	55	3.0	0.6395143862426732	59.03209719163137	1.856553198	164.94511930000002	8.884481170681758	6.48	58.41	47.2	14.78	1.037	0.083	0.22	23.33	13.9	16.463731775284423	454.8635236976547	27.628215152320568	628.0980422009304	0.009429918559794257	30100.0	387.0	42.0	61.0	1527.576	17.3	74.55	777787.29	28824.74	143436.13	633.29	123036.21	435.05	6.27	NA
56	57	MayberryNW_CattailA_D1	MayberryNW_CattailA_D1	29.0	Mayberry	Cattail	SF_Rest	Oligo	Pond	d1	29.0	s029_MayberryNW_CattailA_D1	56	3.7	0.4222189986324331	71.58376014549876	9.783608475	775.7762525	7.929346871170661	6.33	81.76	180.9	18.03	1.26	0.102	0.2	22.8	12.9	15.141842200205367	413.6197374628813	27.31634182908546	499.1628835442224	0.008771929824561403	NA	NA	NA	NA	1200.494	13.7775	125.3	559893.14	14412.34	208159.83	992.74	142815.83	261.83	7.17	1.23
57	58	MayberryNW_CattailA_D2	MayberryNW_CattailA_D2	112.0	Mayberry	Cattail	SF_Rest	Oligo	Pond	d2	112.0	s112_MayberryNW_CattailA_D2	57	3.7	0.5417149416416123	59.63416584458084	9.783608475	775.7762525	7.929346871170661	6.37	57.69	47.4	15.73	1.087	0.11199999999999999	0.19	17.89	22.8	17.272782071815957	370.70289734410136	21.461678599475775	357.3510183683669	0.010620458356623811	29870.0	412.0	40.0	61.0	1200.494	13.7775	125.3	559893.14	14412.34	208159.83	992.74	142815.83	261.83	7.17	1.23
58	59	MayberryNW_CattailB_D1	MayberryNW_CattailB_D1	30.0	Mayberry	Cattail	SF_Rest	Oligo	Pond	d1	30.0	s030_MayberryNW_CattailB_D1	58	3.7	0.4440623430534658	71.2350008648268	19.22591127	868.7915088	4.51885737221547	6.39	114.07	232.4	17.44	1.265	0.115	0.18	27.07	11.4	14.85152246804066	361.25663069722316	24.32455200970943	524.5456464314427	0.006649427410417436	NA	NA	NA	NA	2109.3955	4.2655	152.1	1066717.9	23214.02	220804.16	1122.42	188097.06	907.66	9.5	NA
59	60	MayberryNW_CattailB_D2	MayberryNW_CattailB_D2	113.0	Mayberry	Cattail	SF_Rest	Oligo	Pond	d2	113.0	s113_MayberryNW_CattailB_D2	59	3.7	0.5863010623127791	57.011128938895475	19.22591127	868.7915088	4.51885737221547	6.53	75.2	40.4	15.1	1.0190000000000001	0.10099999999999999	0.2	39.39	19.9	16.28533428916852	363.3303300357511	22.310277675872115	867.7182837152853	0.005077430820005078	32530.0	475.0	43.0	63.0	2109.3955	4.2655	152.1	1066717.9	23214.02	220804.16	1122.42	188097.06	907.66	9.5	NA
60	61	MayberryNW_CattailC_D1	MayberryNW_CattailC_D1	31.0	Mayberry	Cattail	SF_Rest	Oligo	Pond	d1	31.0	s031_MayberryNW_CattailC_D1	60	3.2	0.49846879083829015	63.95878092491305	16.26307373	1304.652219	8.022174901619906	6.27	82.12	138.1	17.1	1.235	0.085	0.12	10.69	9.5	15.165074390310904	487.2420281408708	32.12922110373385	281.52786631894134	0.011225444340505144	NA	NA	NA	NA	1552.9170000000001	23.5405	94.79	743017.54	14087.7	193011.09	36.14	124685.81	119.59	10.28	NA
61	62	MayberryNW_CattailC_D2	MayberryNW_CattailC_D2	114.0	Mayberry	Cattail	SF_Rest	Oligo	Pond	d2	114.0	s114_MayberryNW_CattailC_D2	61	3.2	0.5929274886455461	54.51291114418745	16.26307373	1304.652219	8.022174901619906	6.37	60.94	34.0	15.24	1.0490000000000002	0.09	NA	15.72	16.9	16.764546702859526	432.09272981248677	25.774197028469896	NA	NA	30990.0	472.0	43.0	63.0	1552.9170000000001	23.5405	94.79	743017.54	14087.7	193011.09	36.14	124685.81	119.59	10.28	NA
62	63	Browns_TuleA_D1	Browns_TuleA_D1	31.5	Browns	Tule	SF_Ref	Oligo	Ref	d1	31.5	NA	62	2.601674251	0.4975326475059604	69.55912074244	1.0925126459999999	1.091748797	0.09993008328070191	5.74	62.39	106.0	5.39	0.389	0.09	0.25	15.64	24.8	18.197220243054836	173.9259197587397	9.55782902199694	390.8373035704371	0.0159846547314578	NA	NA	NA	NA	1410.092	173.628	9.052999999999999	701808.98	19522.06	74944.69	8536.98	94484.69	840.98	13.35	8.48
63	64	Browns_TuleA_D2	Browns_TuleA_D2	115.0	Browns	Tule	SF_Ref	Oligo	Ref	d2	115.0	s115_Browns_TuleA_D2	63	2.601674251	0.4975326475059604	69.55912074244	1.0925126459999999	1.091748797	0.09993008328070191	5.74	62.39	106.0	5.39	0.389	0.09	0.25	15.64	24.8	18.197220243054836	173.9259197587397	9.55782902199694	390.8373035704371	0.0159846547314578	42340.0	927.0	62.0	120.0	1410.092	173.628	9.052999999999999	701808.98	19522.06	74944.69	8536.98	94484.69	840.98	13.35	8.48
64	65	Browns_TuleB_D1	Browns_TuleB_D1	32.0	Browns	Tule	SF_Ref	Oligo	Ref	d1	32.0	s032_Browns_TuleB_D1	64	2.879273163	0.3885361944201683	73.1164654052939	2.701849321	1.8510689390000001	0.0685111832333747	6.05	71.29	126.5	7.23	0.524	0.098	0.15	12.59	14.8	16.33543615553427	193.1470641707686	11.82380821251182	287.77825373027775	0.011914217633042097	NA	NA	NA	NA	1472.661	197.09400000000002	8.675	719536.26	19647.19	61483.98	17.23	84484.99	43.23	15.07	6.84
65	66	Browns_TuleB_D2	Browns_TuleB_D2	116.0	Browns	Tule	SF_Ref	Oligo	Ref	d2	116.0	s116_Browns_TuleB_D2	65	2.879273163	0.41876811732894204	70.09327311441652	2.701849321	1.8510689390000001	0.0685111832333747	5.66	80.26	134.7	5.92	0.41100000000000003	0.094	0.56	8.68	18.8	20.117331618765522	194.50757018832027	9.668656553182375	217.59992344253408	0.06451612903225808	43100.0	1315.0	61.0	116.0	1472.661	197.09400000000002	8.675	719536.26	19647.19	61483.98	17.23	84484.99	43.23	15.07	6.84
66	67	Browns_TuleC_D1	Browns_TuleC_D1	33.0	Browns	Tule	SF_Ref	Oligo	Ref	d1	33.0	s033_Browns_TuleC_D1	66	2.741693348	0.3527057672690288	80.3706584432705	0.9669418240000001	0.781500622	0.08082188634339185	6.21	82.66	137.7	8.38	0.557	0.095	0.13	13.4	15.4	16.70758417590578	216.61943218716178	12.96533537742407	315.27447554418285	0.009701492537313432	NA	NA	NA	NA	1815.0105	205.3085	8.609	870858.57	22817.17	74802.18	0.71	107983.69	7.32	17.08	5.9
67	68	Browns_TuleC_D2	Browns_TuleC_D2	117.0	Browns	Tule	SF_Ref	Oligo	Ref	d2	117.0	s117_Browns_TuleC_D2	67	2.741693348	0.4024314983922033	75.39808533095305	0.9669418240000001	0.781500622	0.08082188634339185	6.13	73.58	128.2	5.78	0.397	0.07400000000000001	NA	10.58	10.3	18.85864489876723	223.7285641315281	11.863448584588015	NA	NA	33960.0	425.0	63.0	115.0	1815.0105	205.3085	8.609	870858.57	22817.17	74802.18	0.71	107983.69	7.32	17.08	5.9
68	69	Browns_ThreeSqA_D1	Browns_ThreeSqA_D1	34.0	Browns	ThreeSq	SF_Ref	Oligo	Ref	d1	34.0	s034_Browns_ThreeSqA_D1	68	4.865336514	0.35683581138224935	74.45092854765447	11.35477446	2.967183697	0.02613159519330514	6.25	88.98	175.1	8.18	0.599	0.09300000000000001	0.43	16.38	23.5	15.75025758941894	224.32811141758046	14.242821753485773	400.128407378492	0.026251526251526252	NA	NA	NA	NA	1575.5020000000002	61.611999999999995	10.51	740570.67	11945.29	72503.11	1572.14	100411.18	429.71	11.7	1.24
69	70	Browns_ThreeSqA_D2	Browns_ThreeSqA_D2	118.0	Browns	ThreeSq	SF_Ref	Oligo	Ref	d2	118.0	s118_Browns_ThreeSqA_D2	69	4.865336514	0.37115329764141364	73.01917992173804	11.35477446	2.967183697	0.02613159519330514	6.05	98.67	175.0	7.18	0.5	0.095	0.42	28.53	22.0	19.40525185246857	225.84883155353208	11.63854163143992	674.5895097564	0.014721345951629862	40070.0	621.0	57.0	113.0	1575.5020000000002	61.611999999999995	10.51	740570.67	11945.29	72503.11	1572.14	100411.18	429.71	11.7	1.24
70	71	Browns_ThreeSqB_D1	Browns_ThreeSqB_D1	35.0	Browns	ThreeSq	SF_Ref	Oligo	Ref	d1	35.0	s035_Browns_ThreeSqB_D1	70	4.348960689	0.34802505060737887	75.33200462514151	3.668625483	1.012024245	0.027585924202118944	6.23	78.87	145.7	8.37	0.5920000000000001	0.10800000000000001	0.38	24.57	18.4	16.428968828123768	199.14088011915004	12.121325580595947	511.400814143193	0.015466015466015465	NA	NA	NA	NA	1593.2920000000001	22.508000000000003	19.96	735115.74	13579.15	74038.84	2940.1	103892.89	444.01	11.57	NA
71	72	Browns_ThreeSqB_D2	Browns_ThreeSqB_D2	119.0	Browns	ThreeSq	SF_Ref	Oligo	Ref	d2	119.0	s119_Browns_ThreeSqB_D2	71	4.348960689	0.4019909603534598	69.93541365053342	3.668625483	1.012024245	0.027585924202118944	5.93	82.06	156.8	6.43	0.45899999999999996	0.081	0.25	13.87	8.5	18.470884260234218	231.45550734871637	12.530829823183646	385.89068781305997	0.018024513338139873	41180.0	514.0	61.0	122.0	1593.2920000000001	22.508000000000003	19.96	735115.74	13579.15	74038.84	2940.1	103892.89	444.01	11.57	NA
72	73	Browns_ThreeSqC_D1	Browns_ThreeSqC_D1	36.0	Browns	ThreeSq	SF_Ref	Oligo	Ref	d1	36.0	s036_Browns_ThreeSqC_D1	72	4.143776503	0.37398008339001787	74.57207650830894	1.208837148	-0.039032977	-0.003228969019075844	6.22	82.66	143.6	7.37	0.556	0.099	0.42	15.86	15.7	15.479165081888365	192.23802423536003	12.419146847932454	364.02719275282993	0.02648171500630517	NA	NA	NA	NA	1488.0929999999998	8.8065	19.15	701542.46	15138.08	72569.68	5699.23	100987.7	266.77	11.23	NA
73	74	Browns_ThreeSqC_D2	Browns_ThreeSqC_D2	120.0	Browns	ThreeSq	SF_Ref	Oligo	Ref	d2	120.0	s120_Browns_ThreeSqC_D2	73	4.143776503	0.41764841648046896	70.20524319926383	1.208837148	-0.039032977	-0.003228969019075844	5.98	93.98	141.9	6.51	0.461	0.08800000000000001	0.6	19.2	17.6	18.26426643255974	211.57904496635658	11.5843166079298	498.0777468408653	0.03125	43760.0	487.0	63.0	121.0	1488.0929999999998	8.8065	19.15	701542.46	15138.08	72569.68	5699.23	100987.7	266.77	11.23	NA
74	75	RushSE_TuleA_D1	RushSE_TuleA_D1	42.0	RushRanch	Tule	SF_Rest	Meso	Ref	d1	42.0	s042_RushSE_TuleA_D1	74	6.3681657970000005	0.35830427151139427	76.1396576961713	1.512147379	23.45905848	1.5513738148667584	6.94	165.13	741.1	6.74	0.544	0.10400000000000001	NA	27.8	29.6	15.306125634834732	177.04472822989183	11.566919836784905	NA	NA	NA	NA	NA	NA	1837.17	134.596	12.19	873570.11	29368.2	98217.43	5951.83	120862.5	80.0	9.07	10.53
75	76	RushSE_TuleA_D2	RushSE_TuleA_D2	127.0	RushRanch	Tule	SF_Rest	Meso	Ref	d2	127.0	s127_RushSE_TuleA_D2	75	6.3681657970000005	0.4254863224197808	69.42145260533265	1.512147379	23.45905848	1.5513738148667584	6.72	149.79	751.0	5.93	0.44299999999999995	0.066	0.17	30.62	19.0	17.084683284115222	253.58227180639972	14.842667410883301	1032.7147357057402	0.005551926845199217	47250.0	932.0	54.0	141.0	1837.17	134.596	12.19	873570.11	29368.2	98217.43	5951.83	120862.5	80.0	9.07	10.53
76	77	RushSE_TuleB_D1	RushSE_TuleB_D1	43.0	RushRanch	Tule	SF_Rest	Meso	Ref	d1	43.0	s043_RushSE_TuleB_D1	76	6.473276176000001	0.31182750842395335	82.62290916634673	4.661104515	145.4819003	3.121189405468631	7.17	233.28	644.3	7.22	0.54	0.1	NA	25.94	35.5	15.916211065782292	190.05776371659314	11.941143713857358	NA	NA	NA	NA	NA	NA	2489.4485	136.23	20.76	1171654.91	39718.65	113830.35	7973.61	157657.2	217.33	10.96	4.0
77	78	RushSE_TuleB_D2	RushSE_TuleB_D2	128.0	RushRanch	Tule	SF_Rest	Meso	Ref	d2	128.0	s128_RushSE_TuleB_D2	77	6.473276176000001	0.39376758363024744	74.42890164571732	4.661104515	145.4819003	3.121189405468631	6.8	179.55	730.1	6.17	0.46	0.08	NA	20.23	14.4	16.808217467321622	213.7182790775123	12.715106732348112	NA	NA	47330.0	843.0	51.0	139.0	2489.4485	136.23	20.76	1171654.91	39718.65	113830.35	7973.61	157657.2	217.33	10.96	4.0
78	79	RushSE_TuleC_D1	RushSE_TuleC_D1	44.0	RushRanch	Tule	SF_Rest	Meso	Ref	d1	44.0	s044_RushSE_TuleC_D1	78	7.180456676	0.3487225691687229	73.42667760757581	6.161317625	26.11238599	0.423811716572557	7.09	196.72	512.7	6.77	0.5329999999999999	0.12	0.2	17.71	34.6	15.228179672073585	149.57056031970694	9.821959258466004	330.39157207110736	0.01129305477131564	NA	NA	NA	NA	3413.2325	318.9515	18.71	1587197.8	46547.33	146034.22	4829.86	213406.24	19.56	19.84	15.13
79	80	RushSE_TuleC_D2	RushSE_TuleC_D2	129.0	RushRanch	Tule	SF_Rest	Meso	Ref	d2	129.0	s129_RushSE_TuleC_D2	79	7.180456676	0.36280143065690124	72.01879145875799	6.161317625	26.11238599	0.423811716572557	6.83	210.45	570.7	5.07	0.397	0.084	0.36	12.16	24.4	16.773031522112287	175.297187895223	10.451133276898965	329.9435656321499	0.029605263157894735	40220.0	774.0	52.0	140.0	3413.2325	318.9515	18.71	1587197.8	46547.33	146034.22	4829.86	213406.24	19.56	19.84	15.13
80	81	RushSE_CattailNLA_D1	RushSE_CattailNLA_D1	45.0	RushRanch	CattailNL	SF_Rest	Meso	Ref	d1	45.0	s045_RushSE_CattailNLA_D1	80	6.488424734	0.360800653730941	79.56116979707927	2.031548092	4.844556408	0.23846624291481455	7.09	183.63	624.7	7.29	0.5660000000000001	0.10400000000000001	0.24	30.9	34.9	16.194669021006362	194.89797813542717	12.03469968312547	662.8265400266899	0.007766990291262136	NA	NA	NA	NA	2985.1525	148.5035	16.98	1388465.8	40667.76	132137.2	7636.0	192358.27	31.19	15.54	12.47
81	82	RushSE_CattailNLA_D2	RushSE_CattailNLA_D2	130.0	RushRanch	CattailNL	SF_Rest	Meso	Ref	d2	130.0	s130_RushSE_CattailNLA_D2	81	6.488424734	0.39318019957858946	76.32321521231444	2.031548092	4.844556408	0.23846624291481455	6.88	170.3	632.0	6.04	0.43200000000000005	0.07	0.21	15.03	14.2	18.167588275562217	247.93346575163244	13.647021387265552	481.9495150383991	0.013972055888223553	45980.0	809.0	53.0	138.0	2985.1525	148.5035	16.98	1388465.8	40667.76	132137.2	7636.0	192358.27	31.19	15.54	12.47
82	83	RushSE_CattailNLB_D1	RushSE_CattailNLB_D1	46.0	RushRanch	CattailNL	SF_Rest	Meso	Ref	d1	46.0	s046_RushSE_CattailNLB_D1	82	7.4866462	0.3782753292677672	79.649277404828	2.406824212	2.823401205	0.1173081603102969	7.02	200.33	841.9	6.67	0.524	0.081	0.17	14.43	15.3	15.779052090291279	225.72483453953217	14.30534820773035	399.008784849198	0.011781011781011782	NA	NA	NA	NA	2950.139	269.369	17.78	1434498.8	41970.3	125532.96	6301.25	184637.59	23.59	17.4	20.83
83	84	RushSE_CattailNLB_D2	RushSE_CattailNLB_D2	131.0	RushRanch	CattailNL	SF_Rest	Meso	Ref	d2	131.0	s131_RushSE_CattailNLB_D2	83	7.4866462	0.38179963357771535	79.2968469738332	2.406824212	2.823401205	0.1173081603102969	6.85	190.52	758.2	6.23	0.43799999999999994	0.068	NA	22.97	16.7	18.424594806359014	262.43110482058114	14.243521096594558	NA	NA	45910.0	855.0	52.0	136.0	2950.139	269.369	17.78	1434498.8	41970.3	125532.96	6301.25	184637.59	23.59	17.4	20.83
84	85	RushSE_CattailNLC_D1	RushSE_CattailNLC_D1	47.0	RushRanch	CattailNL	SF_Rest	Meso	Ref	d1	47.0	s047_RushSE_CattailNLC_D1	84	7.406254334	0.3505214328269255	78.75351672604951	1.059730791	1.059207735	0.09995064255899308	6.99	198.08	579.6	6.51	0.551	0.127	0.15	25.42	18.2	14.519059283376201	139.29596033032712	9.594007270830279	445.69896716433686	0.0059008654602675055	NA	NA	NA	NA	2869.2955	314.309	13.01	1360110.13	36362.68	108370.78	918.46	161250.03	21.86	16.49	24.09
85	86	RushSE_CattailNLC_D2	RushSE_CattailNLC_D2	132.0	RushRanch	CattailNL	SF_Rest	Meso	Ref	d2	132.0	s132_RushSE_CattailNLC_D2	85	7.406254334	0.416528715631996	72.15278844554246	1.059730791	1.059207735	0.09995064255899308	6.73	173.77	372.9	5.55	0.436	0.08800000000000001	0.37	17.21	18.3	16.636802350139284	182.27446810121026	10.956099872141849	442.23266613446526	0.021499128413712956	42870.0	819.0	52.0	144.0	2869.2955	314.309	13.01	1360110.13	36362.68	108370.78	918.46	161250.03	21.86	16.49	24.09
86	87	RushMan_CattailNLA_D1	NA	37.0	RushRanch	CattailNL	SF_Rest	Meso	Restored	d1	37.0	s037_RushMan_CattailNLA_D1	86	8.155155217	0.2650937648139119	79.95398288162559	5.134738102	29.40738992	0.5727145053132449	6.2	286.54	676.9	10.51	0.7509999999999999	0.12300000000000001	0.32	23.03	36.8	16.30479428477735	220.14169937719694	13.50165451536717	420.239038436647	0.013894919669995658	NA	NA	NA	NA	1898.7160000000001	424.22	10.64	1017459.48	29406.96	77463.11	634.84	109434.21	24.76	11.85	36.7
87	88	RushMan_CattailNLA_D2	RushMan_CattailNLA_D2	121.0	RushRanch	CattailNL	SF_Rest	Meso	Restored	d2	121.0	s121_RushMan_CattailNLA_D2	87	8.155155217	0.20760355075788275	85.7030042872285	5.134738102	29.40738992	0.5727145053132449	6.27	236.74	629.6	15.5	0.848	0.07	0.71	45.93	9.0	22.292209931776377	597.1770400941994	26.788597537965707	1474.942610327489	0.01545830611800566	40570.0	417.0	53.0	102.0	1898.7160000000001	424.22	10.64	1017459.48	29406.96	77463.11	634.84	109434.21	24.76	11.85	36.7
88	89	RushMan_CattailNLB_D1	NA	38.0	RushRanch	CattailNL	SF_Rest	Meso	Restored	d1	38.0	s038_RushMan_CattailNLB_D1	88	7.731226222	0.2338522755663505	95.92715793640099	2.591502904	24.63178651	0.9504826898700631	6.3	239.15	770.7	13.22	0.838	0.06	0.78	38.61	10.0	18.383354439019605	567.7664085699221	30.884809975964398	1453.2801813379026	0.020202020202020204	NA	NA	NA	NA	3371.94	444.71	17.77	1713573.29	54383.25	110713.13	623.05	199451.38	44.13	18.58	25.84
89	90	RushMan_CattailNLB_D2	RushMan_CattailNLB_D2	122.0	RushRanch	CattailNL	SF_Rest	Meso	Restored	d2	122.0	s122_RushMan_CattailNLB_D2	89	7.731226222	0.3364609270903616	85.66629278399988	2.591502904	24.63178651	0.9504826898700631	6.44	206.7	434.2	13.9	0.866	0.057999999999999996	0.29	32.92	11.5	19.20293426176121	634.0297830437042	33.01733862132973	1267.521990236409	0.008809234507897933	28650.0	270.0	48.0	80.0	3371.94	444.71	17.77	1713573.29	54383.25	110713.13	623.05	199451.38	44.13	18.58	25.84
90	91	RushMan_CattailNLC_D1	RushMan_CattailNLC_D1	39.0	RushRanch	CattailNL	SF_Rest	Meso	Restored	d1	39.0	s039_RushMan_CattailNLC_D1	90	8.391195087	0.27959480858921915	89.5173294726828	1.501278568	6.984720829	0.4652514848263657	6.36	262.17	836.6	8.7	0.653	0.077	0.34	36.53	22.4	16.340821067161126	306.442146646959	18.753167015750012	1059.9784430604736	0.0093074185600876	NA	NA	NA	NA	3136.6940000000004	395.166	21.41	1586049.41	50598.08	111180.37	723.68	191270.71	239.08	16.73	20.19
91	92	RushMan_CattailNLC_D2	RushMan_CattailNLC_D2	123.0	RushRanch	CattailNL	SF_Rest	Meso	Restored	d2	123.0	s123_RushMan_CattailNLC_D2	91	8.391195087	0.2514003741096342	92.33677292064131	1.501278568	6.984720829	0.4652514848263657	6.6	233.85	629.3	10.56	0.606	0.061	0.71	32.34	9.8	22.3036927371032	489.9725251852468	21.96822431875397	1199.3784723563278	0.021954236239950523	44950.0	437.0	63.0	114.0	3136.6940000000004	395.166	21.41	1586049.41	50598.08	111180.37	723.68	191270.71	239.08	16.73	20.19
92	93	RushMan_ThreeSqA_D1	RushMan_ThreeSqA_D1	40.0	RushRanch	ThreeSq	SF_Rest	Meso	Restored	d1	40.0	s040_RushMan_ThreeSqA_D1	92	10.69236377	0.32610828317988894	83.03040685218448	3.337470381	2.189804575	0.06561270438432694	6.58	226.06	415.9	10.41	0.7759999999999999	0.162	0.42	30.15	32.2	15.208442947916302	161.09558008039954	10.59250974160186	417.7294024945199	0.013930348258706468	NA	NA	NA	NA	3848.8905	554.447	14.83	1909814.27	48827.3	129093.71	12.15	227325.69	26.09	23.44	52.35
93	94	RushMan_ThreeSqA_D2	RushMan_ThreeSqA_D2	124.0	RushRanch	ThreeSq	SF_Rest	Meso	Restored	d2	124.0	s124_RushMan_ThreeSqA_D2	93	10.69236377	0.3480801178622218	80.8332233839512	3.337470381	2.189804575	0.06561270438432694	6.17	233.56	591.7	10.66	0.677	0.16	0.31	21.19	25.3	19.378930957798776	181.322069353093	9.35666006282573	297.4630988077391	0.0146295422369042	44060.0	2561.0	52.0	124.0	3848.8905	554.447	14.83	1909814.27	48827.3	129093.71	12.15	227325.69	26.09	23.44	52.35
94	95	RushMan_ThreeSqB_D1	RushMan_ThreeSqB_D1	40.5	RushRanch	ThreeSq	SF_Rest	Meso	Restored	d1	NA	NA	94	11.50069077	0.3215193452763107	74.3114248353857	7.059739100000001	3.234016645	0.045809294071504705	6.64	254.49	657.2	9.24	0.706	0.153	0.49	30.47	18.2	15.477501383882528	157.93060065310502	10.203882185891182	447.94443114577166	0.01608139153265507	NA	NA	NA	NA	2369.507	544.8385	10.11	1283900.32	30529.71	86651.63	4.55	131843.52	12.69	15.29	36.51
95	96	RushMan_ThreeSqB_D2	RushMan_ThreeSqB_D2	125.0	RushRanch	ThreeSq	SF_Rest	Meso	Restored	d2	125.0	s125_RushMan_ThreeSqB_D2	95	11.50069077	0.2949035054355565	76.97300881946111	7.059739100000001	3.234016645	0.045809294071504705	6.04	304.91	940.6	8.85	0.586	0.134	0.35	15.71	7.4	18.686756991529098	180.7086414567741	9.670412128690451	265.31106514972794	0.02227880330999363	50520.0	1224.0	56.0	126.0	2369.507	544.8385	10.11	1283900.32	30529.71	86651.63	4.55	131843.52	12.69	15.29	36.51
96	97	RushMan_ThreeSqC_D1	NA	41.0	RushRanch	ThreeSq	SF_Rest	Meso	Restored	d1	41.0	s041_RushMan_ThreeSqC_D1	96	11.68654142	0.272252507943494	60.88235695435414	5.4040557289999995	2.293964275	0.04244893816860193	6.52	281.12	513.1	7.11	0.59	0.156	0.28	15.57	36.6	14.468550721160971	121.00536047085046	8.363336646694968	224.9154497842654	0.017983301220295442	NA	NA	NA	NA	3580.0440000000003	567.198	13.22	1885203.29	42105.33	119685.61	189.38	206931.57	13.27	21.42	84.91
97	98	RushMan_ThreeSqC_D2	RushMan_ThreeSqC_D2	126.0	RushRanch	ThreeSq	SF_Rest	Meso	Restored	d2	126.0	s126_RushMan_ThreeSqC_D2	97	11.68654142	0.2678471275560587	61.322894993097655	5.4040557289999995	2.293964275	0.04244893816860193	6.18	282.09	703.3	8.02	0.551	0.14400000000000002	0.27	14.08	34.7	19.090658124789115	161.53333980887888	8.46138141246837	220.59924898661777	0.019176136363636364	48830.0	2093.0	57.0	137.0	3580.0440000000003	567.198	13.22	1885203.29	42105.33	119685.61	189.38	206931.57	13.27	21.42	84.91
