Alpha_Index	Index_EW_ d1_d2	Indx_Site_hyd_EW	Ind_site_EW	Sample	SPID	Add_Date	MG_plate	Annot_group	taxon_oid	GOLD_Analysis_Project_ID	GOLD_Sequencing_Project_ID	Location	Site	Plant	EWcoastGroup	SALTgroup	LU	Depth	Date.y	Salinity.x	Core_Weight_oz	Temp	Conductivity	CO2_uM_m2_s	CH4_uM_m2_s	CO2_mg_m2_h	CH4_ug_m2_h	CH4_ppm_s	CO2_ppm_s	D1_Read_count	iTag_name.x	latitude	longitude	Part_DM	pH	Cl	SO4	OM_LOI	Corg_LOI	N	C	NO3_N	NH4_N	Olsen_P	P	Zn	Mn	Fe	Cu	pwSampNO	PW_LABEL	Salinity.y	DOC_mg_L	NO2_pw	NO3_pw	PO4_pw	SO4_pw	Cl_pw	Br_pw	F_pw	Na_pw	Mg_pw	Ca_pw	K_pw	Sr_pw	Fe_pw	Mn_pw	Al_pw	Si_pw	Co_pw	Cu_pw	Zn_pw
58	26	40	46	MayberryNW_TuleA_D1	1072554	3_16_2017	2	c	3300014301	Ga0075323	Gp0116089	Mayberry	MayberryNW	Tule	SF_Rest	Oligo	Pond	d1	10/9/17	3.2	13	17.2	5033	65.24678813	2.261932784	10.67432117	507.6657121	0.055518458	1.601462725	147277	s026_MayberryNW_TuleA_D1	38.052466	-121.7691402	44.5	5.95	74.18	61.3	24.9	14.44	1.188	16.15	0.22	12.22	8.3	0.088	NA	NA	NA	NA	s026	W77	3.23	91.03	1.798	NA	NA	31.102	1951.528	8.148	0.65	976662.06	166242.35	186636.96	17709.77	1966.99	213.49	440.02	23.66	9435.85	1.44	10.44	13.16
59	109	41	47	MayberryNW_TuleA_D2	1047998	2_21_2015	1	a	3300003999	Ga0055469	Gp0101354	Mayberry	MayberryNW	Tule	SF_Rest	Oligo	Pond	d2	10/9/17	3.2	13	17.2	5033	65.24678813	2.261932784	10.67432117	507.6657121	0.055518458	1.601462725	147277	s109_MayberryNW_TuleA_D2	38.052466	-121.7691402	51.3	5.94	76.29	30.8	25.34	14.7	1.076	15.65	0.18	14.08	18.5	0.103	66	417	32970	44	s109	W77	3.23	91.03	1.798	NA	NA	31.102	1951.528	8.148	0.65	976662.06	166242.35	186636.96	17709.77	1966.99	213.49	440.02	23.66	9435.85	1.44	10.44	13.16
60	27	42	48	MayberryNW_TuleB_D1	1048001	2_21_2015	1	a	3300003992	Ga0055470	Gp0101355	Mayberry	MayberryNW	Tule	SF_Rest	Oligo	Pond	d1	10/9/17	3.3	12.8	16.4	5063	84.6027521	7.484902836	13.84094104	1679.90338	0.183714681	2.07654902	128302	s027_MayberryNW_TuleB_D1	38.052466	-121.7691402	41.8	6.2	75.98	153.9	26.51	15.38	1.288	17	0.19	57.69	8.6	0.108	NA	NA	NA	NA	s027	W78	3.31	53.9	0.466	NA	NA	25.446	1028.214	4.63	0.454	515583.57	95313.91	141550.45	18008.51	1009.16	102.42	3.25	21.25	8480.81	0.8	6.46	NA
61	110	43	49	MayberryNW_TuleB_D2	1048004	2_20_2015	1	a	3300003987	Ga0055471	Gp0101356	Mayberry	MayberryNW	Tule	SF_Rest	Oligo	Pond	d2	10/9/17	3.3	12.8	16.4	5063	84.6027521	7.484902836	13.84094104	1679.90338	0.183714681	2.07654902	128302	s110_MayberryNW_TuleB_D2	38.052466	-121.7691402	51.8	6.48	60.22	42	26.21	15.2	1.089	16.03	NA	67.44	23.2	0.102	61	476	31850	41	s110	W78	3.31	53.9	0.466	NA	NA	25.446	1028.214	4.63	0.454	515583.57	95313.91	141550.45	18008.51	1009.16	102.42	3.25	21.25	8480.81	0.8	6.46	NA
62	28	44	50	MayberryNW_TuleC_D1	1072555	3_16_2017	2	c	3300014263	Ga0075324	Gp0116090	Mayberry	MayberryNW	Tule	SF_Rest	Oligo	Pond	d1	10/9/17	3	13.4	16.5	4583	11.34818142	0.734922143	1.856553198	164.9451193	0.018038442	0.278537688	154081	s028_MayberryNW_TuleC_D1	38.052466	-121.7691402	45.9	6.63	60.63	101.9	24.59	14.26	1.19	16.82	0.13	39.17	6.6	0.082	NA	NA	NA	NA	s028	W79	2.97	74.55	1.588	NA	NA	17.3	1527.576	6.646	0.45	777787.29	123036.21	143436.13	28824.74	1110.96	435.05	633.29	26.57	11693.96	0.76	6.27	NA
63	111	45	51	MayberryNW_TuleC_D2	1048007	2_21_2015	1	a	3300003998	Ga0055472	Gp0101357	Mayberry	MayberryNW	Tule	SF_Rest	Oligo	Pond	d2	10/9/17	3	13.4	16.5	4583	11.34818142	0.734922143	1.856553198	164.9451193	0.018038442	0.278537688	154081	s111_MayberryNW_TuleC_D2	38.052466	-121.7691402	52	6.48	58.41	47.2	25.24	14.64	1.037	14.78	0.22	23.33	13.9	0.083	61	387	30100	42	s111	W79	2.97	74.55	1.588	NA	NA	17.3	1527.576	6.646	0.45	777787.29	123036.21	143436.13	28824.74	1110.96	435.05	633.29	26.57	11693.96	0.76	6.27	NA
52	29	46	40	MayberryNW_CattailA_D1	1072552	3_16_2017	2	c	3300014300	Ga0075321	Gp0116087	Mayberry	MayberryNW	Cattail	SF_Rest	Oligo	Pond	d1	10/9/17	3.7	12.4	17.2	5753	59.80230681	3.456514191	9.783608475	775.7762525	0.084839098	1.467829574	132440	s029_MayberryNW_CattailA_D1	38.052416	-121.76907	37.1	6.33	81.76	180.9	28.2	16.36	1.26	18.03	0.2	22.8	12.9	0.102	NA	NA	NA	NA	s029	W74	3.72	125.3	NA	1.309	NA	13.7775	1200.494	7.0095	0.7895	559893.14	142815.83	208159.83	14412.34	1998.78	261.83	992.74	22.26	13371.21	2.76	7.17	1.23
53	112	47	41	MayberryNW_CattailA_D2	1047986	2_22_2015	1	a	3300004013	Ga0055465	Gp0101350	Mayberry	MayberryNW	Cattail	SF_Rest	Oligo	Pond	d2	10/9/17	3.7	12.4	17.2	5753	59.80230681	3.456514191	9.783608475	775.7762525	0.084839098	1.467829574	132440	s112_MayberryNW_CattailA_D2	38.052416	-121.76907	47.6	6.37	57.69	47.4	27.75	16.1	1.087	15.73	0.19	17.89	22.8	0.112	61	412	29870	40	s112	W74	3.72	125.3	NA	1.309	NA	13.7775	1200.494	7.0095	0.7895	559893.14	142815.83	208159.83	14412.34	1998.78	261.83	992.74	22.26	13371.21	2.76	7.17	1.23
54	30	48	42	MayberryNW_CattailB_D1	1072553	3_16_2017	2	c	3300014311	Ga0075322	Gp0116088	Mayberry	MayberryNW	Cattail	SF_Rest	Oligo	Pond	d1	10/9/17	3.7	12.6	17.5	5809	117.5183826	3.870948834	19.22591127	868.7915088	0.095011271	2.884453237	134998	s030_MayberryNW_CattailB_D1	38.052416	-121.76907	38.4	6.39	114.07	232.4	27.77	16.11	1.265	17.44	0.18	27.07	11.4	0.115	NA	NA	NA	NA	s030	W75	3.74	152.1	NA	NA	NA	4.2655	2109.3955	10.6235	0.9475	1066717.9	188097.06	220804.16	23214.02	2224.65	907.66	1122.42	32.83	22082.9	2.52	9.5	NA
55	113	49	43	MayberryNW_CattailB_D2	1047992	2_21_2015	1	a	3300003996	Ga0055467	Gp0101352	Mayberry	MayberryNW	Cattail	SF_Rest	Oligo	Pond	d2	10/9/17	3.7	12.6	17.5	5809	117.5183826	3.870948834	19.22591127	868.7915088	0.095011271	2.884453237	134998	s113_MayberryNW_CattailB_D2	38.052416	-121.76907	50.7	6.53	75.2	40.4	24.54	14.23	1.019	15.1	0.2	39.39	19.9	0.101	63	475	32530	43	s113	W75	3.74	152.1	NA	NA	NA	4.2655	2109.3955	10.6235	0.9475	1066717.9	188097.06	220804.16	23214.02	2224.65	907.66	1122.42	32.83	22082.9	2.52	9.5	NA
56	31	50	44	MayberryNW_CattailC_D1	1047989	2_21_2015	1	a	3300003997	Ga0055466	Gp0101351	Mayberry	MayberryNW	Cattail	SF_Rest	Oligo	Pond	d1	10/9/17	3.2	12.4	16.8	4920	99.40803818	5.812950443	16.26307373	1304.652219	0.142677114	2.439940299	133087	s031_MayberryNW_CattailC_D1	38.052416	-121.76907	43.8	6.27	82.12	138.1	27.68	16.06	1.235	17.1	0.12	10.69	9.5	0.085	NA	NA	NA	NA	s031	W76	3.18	94.79	NA	0.4365	NA	23.5405	1552.917	7.3225	0.892	743017.54	124685.81	193011.09	14087.7	1780.33	119.59	36.14	24.41	9083.47	1.44	10.28	NA
57	114	51	45	MayberryNW_CattailC_D2	1047995	2_21_2015	1	a	3300003993	Ga0055468	Gp0101353	Mayberry	MayberryNW	Cattail	SF_Rest	Oligo	Pond	d2	10/9/17	3.2	12.4	16.8	4920	99.40803818	5.812950443	16.26307373	1304.652219	0.142677114	2.439940299	133087	s114_MayberryNW_CattailC_D2	38.052416	-121.76907	52.1	6.37	60.94	34	26	15.08	1.049	15.24	NA	15.72	16.9	0.09	63	472	30990	43	s114	W76	3.18	94.79	NA	0.4365	NA	23.5405	1552.917	7.3225	0.892	743017.54	124685.81	193011.09	14087.7	1780.33	119.59	36.14	24.41	9083.47	1.44	10.28	NA
7	31.5	52	58	Browns_TuleA_D1	1072532	3_16_2017	2	c	3300014262	Ga0075301	Gp0116067	Browns	Browns	Tule	SF_Ref	Oligo	Ref	d1	9/7/17	2.601674251	13	22.5	4616	6.677983546	0.004864347	1.092512646	1.091748797	0.000119394	0.163909091	NA	NA	38.04565	-121.866287	41.7	5.74	62.39	106	10.47	6.07	0.389	5.39	0.25	15.64	24.8	0.09	NA	NA	NA	NA	s115	W23	2.6	9.053	0.8	NA	NA	173.628	1410.092	4.468	0.276	701808.98	94484.69	74944.69	19522.06	699.85	840.98	8536.98	20.28	12061.2	5.16	13.35	8.48
8	115	53	59	Browns_TuleA_D2	1047905	2_21_2015	1	a	3300003995	Ga0055438	Gp0101323	Browns	Browns	Tule	SF_Ref	Oligo	Ref	d2	9/7/17	2.601674251	13	22.5	4616	6.677983546	0.004864347	1.092512646	1.091748797	0.000119394	0.163909091	NA	s115_Browns_TuleA_D2	38.04565	-121.866287	41.7	5.74	62.39	106	10.47	6.07	0.389	5.39	0.25	15.64	24.8	0.09	120	927	42340	62	s115	W23	2.6	9.053	0.8	NA	NA	173.628	1410.092	4.468	0.276	701808.98	94484.69	74944.69	19522.06	699.85	840.98	8536.98	20.28	12061.2	5.16	13.35	8.48
9	32	54	60	Browns_TuleB_D1	1072533	3_16_2017	2	c	3300014269	Ga0075302	Gp0116068	Browns	Browns	Tule	SF_Ref	Oligo	Ref	d1	9/7/17	2.879273163	12.2	23.3	5163	16.51505397	0.00824754	2.701849321	1.851068939	0.000202433	0.405357016	155712	s032_Browns_TuleB_D1	38.04565	-121.866287	34.7	6.05	71.29	126.5	12.65	7.34	0.524	7.23	0.15	12.59	14.8	0.098	NA	NA	NA	NA	s032	W24	2.88	8.675	2.6365	1.6995	NA	197.094	1472.661	4.777	0.41	719536.26	84484.99	61483.98	19647.19	534.32	43.23	17.23	21.09	9866.08	0.22	15.07	6.84
10	116	55	61	Browns_TuleB_D2	1047908	2_23_2015	1	a	3300004019	Ga0055439	Gp0101324	Browns	Browns	Tule	SF_Ref	Oligo	Ref	d2	9/7/17	2.879273163	12.2	23.3	5163	16.51505397	0.00824754	2.701849321	1.851068939	0.000202433	0.405357016	155712	s116_Browns_TuleB_D2	38.04565	-121.866287	37.4	5.66	80.26	134.7	12.22	7.09	0.411	5.92	0.56	8.68	18.8	0.094	116	1315	43100	61	s116	W24	2.88	8.675	2.6365	1.6995	NA	197.094	1472.661	4.777	0.41	719536.26	84484.99	61483.98	19647.19	534.32	43.23	17.23	21.09	9866.08	0.22	15.07	6.84
11	33	56	62	Browns_TuleC_D1	1072534	3_16_2017	2	c	3300014299	Ga0075303	Gp0116069	Browns	Browns	Tule	SF_Ref	Oligo	Ref	d1	9/7/17	2.741693348	12.6	22.9	4890	5.910431903	0.003482019	0.966941824	0.781500622	8.55E-05	0.145069767	178925	s033_Browns_TuleC_D1	38.04565	-121.866287	30.5	6.21	82.66	137.7	13.76	7.98	0.557	8.38	0.13	13.4	15.4	0.095	NA	NA	NA	NA	s033	W25	2.74	8.609	3.3435	2.044	NA	205.3085	1815.0105	5.843	0.231	870858.57	107983.69	74802.18	22817.17	707.15	7.32	0.71	17.8	9152.4	0.17	17.08	5.9
12	117	57	63	Browns_TuleC_D2	1047911	2_23_2015	1	a	3300004020	Ga0055440	Gp0101325	Browns	Browns	Tule	SF_Ref	Oligo	Ref	d2	9/7/17	2.741693348	12.6	22.9	4890	5.910431903	0.003482019	0.966941824	0.781500622	8.55E-05	0.145069767	178925	s117_Browns_TuleC_D2	38.04565	-121.866287	34.8	6.13	73.58	128.2	11.06	6.42	0.397	5.78	NA	10.58	10.3	0.074	115	425	33960	63	s117	W25	2.74	8.609	3.3435	2.044	NA	205.3085	1815.0105	5.843	0.231	870858.57	107983.69	74802.18	22817.17	707.15	7.32	0.71	17.8	9152.4	0.17	17.08	5.9
1	34	58	52	Browns_ThreeSqA_D1	1047887	2_23_2015	1	a	3300004022	Ga0055432	Gp0101317	Browns	Browns	ThreeSq	SF_Ref	Oligo	Ref	d1	9/7/17	4.865336514	12	20.7	7981	69.40605887	0.013220452	11.35477446	2.967183697	0.000324492	1.70355077	153798	s034_Browns_ThreeSqA_D1	38.045666	-121.866516	32.4	6.25	88.98	175.1	13.94	8.09	0.599	8.18	0.43	16.38	23.5	0.093	NA	NA	NA	NA	s034	W20	4.87	10.51	1.688	NA	1.656	61.612	1575.502	4.902	0.148	740570.67	100411.18	72503.11	11945.29	685.37	429.71	1572.14	18.98	9933.09	0.41	11.7	1.24
2	118	59	53	Browns_ThreeSqA_D2	1047896	2_21_2015	1	a	3300003994	Ga0055435	Gp0101320	Browns	Browns	ThreeSq	SF_Ref	Oligo	Ref	d2	9/7/17	4.865336514	12	20.7	7981	69.40605887	0.013220452	11.35477446	2.967183697	0.000324492	1.70355077	153798	s118_Browns_ThreeSqA_D2	38.045666	-121.866516	33.7	6.05	98.67	175	14.35	8.32	0.5	7.18	0.42	28.53	22	0.095	113	621	40070	57	s118	W20	4.87	10.51	1.688	NA	1.656	61.612	1575.502	4.902	0.148	740570.67	100411.18	72503.11	11945.29	685.37	429.71	1572.14	18.98	9933.09	0.41	11.7	1.24
3	35	60	54	Browns_ThreeSqB_D1	1047890	2_24_2015	1	a	3300004025	Ga0055433	Gp0101318	Browns	Browns	ThreeSq	SF_Ref	Oligo	Ref	d1	9/7/17	4.348960689	12	19.9	7064	22.42447327	0.00450913	3.668625483	1.012024245	0.000110675	0.550401929	171841	s035_Browns_ThreeSqB_D1	38.045666	-121.866516	31.6	6.23	78.87	145.7	14.38	8.34	0.592	8.37	0.38	24.57	18.4	0.108	NA	NA	NA	NA	s035	W21	4.35	19.96	NA	NA	6.744	22.508	1593.292	5.7615	0.446	735115.74	103892.89	74038.84	13579.15	713.44	444.01	2940.1	22.82	13861.75	0.46	11.57	NA
4	119	61	55	Browns_ThreeSqB_D2	1047899	2_24_2015	1	a	3300004024	Ga0055436	Gp0101321	Browns	Browns	ThreeSq	SF_Ref	Oligo	Ref	d2	9/7/17	4.348960689	12	19.9	7064	22.42447327	0.00450913	3.668625483	1.012024245	0.000110675	0.550401929	171841	s119_Browns_ThreeSqB_D2	38.045666	-121.866516	36.5	5.93	82.06	156.8	12.54	7.27	0.459	6.43	0.25	13.87	8.5	0.081	122	514	41180	61	s119	W21	4.35	19.96	NA	NA	6.744	22.508	1593.292	5.7615	0.446	735115.74	103892.89	74038.84	13579.15	713.44	444.01	2940.1	22.82	13861.75	0.46	11.57	NA
5	36	62	56	Browns_ThreeSqC_D1	1047893	5_19_2015	1	b	3300005183	Ga0068993	Gp0101319	Browns	Browns	ThreeSq	SF_Ref	Oligo	Ref	d1	9/7/17	4.143776503	12.2	20	6767	7.389017064	-0.000173914	1.208837148	-0.039032977	-4.27E-06	0.181361194	173223	s036_Browns_ThreeSqC_D1	38.045666	-121.866516	33.4	6.22	82.66	143.6	12.73	7.38	0.556	7.37	0.42	15.86	15.7	0.099	NA	NA	NA	NA	s036	W22	4.14	19.15	NA	NA	3.1545	8.8065	1488.093	5.8125	0.456	701542.46	100987.7	72569.68	15138.08	660.33	266.77	5699.23	17.96	14472.26	0.48	11.23	NA
6	120	63	57	Browns_ThreeSqC_D2	1047902	2_22_2015	1	a	3300004009	Ga0055437	Gp0101322	Browns	Browns	ThreeSq	SF_Rest	Oligo	Ref	d2	9/7/17	4.143776503	12.2	20	6767	7.389017064	-0.000173914	1.208837148	-0.039032977	-4.27E-06	0.181361194	173223	s120_Browns_ThreeSqC_D2	38.045666	-121.866516	37.3	5.98	93.98	141.9	12.44	7.22	0.461	6.51	0.6	19.2	17.6	0.088	121	487	43760	63	s120	W22	4.14	19.15	NA	NA	3.1545	8.8065	1488.093	5.8125	0.456	701542.46	100987.7	72569.68	15138.08	660.33	266.77	5699.23	17.96	14472.26	0.48	11.23	NA
98	42	64	70	RushSE_TuleA_D1	1072579	3_16_2017	2	c	3300014319	Ga0075348	Gp0116114	RushRanch	Rush_SE	Tule	SF_Ref	Meso	Ref	d1	9/24/17	6.368165797	12.2	19.5	9988	9.243000854	0.104523138	1.512147379	23.45905848	0.002565489	0.226866667	105836	s042_RushSE_TuleA_D1	38.224476	-122.019341	32	6.94	165.13	741.1	12.31	7.14	0.544	6.74	NA	27.8	29.6	0.104	NA	NA	NA	NA	s042	W65	6.37	12.19	1.318	NA	1.096	134.596	1837.17	5.322	0.338	873570.11	120862.5	98217.43	29368.2	1089.39	80	5951.83	17.85	15237.92	2.21	9.07	10.53
99	127	65	71	RushSE_TuleA_D2	1048073	3_19_2015	1	b	3300004048	Ga0055494	Gp0101379	RushRanch	Rush_SE	Tule	SF_Ref	Meso	Ref	d2	9/24/17	6.368165797	12.2	19.5	9988	9.243000854	0.104523138	1.512147379	23.45905848	0.002565489	0.226866667	105836	s127_RushSE_TuleA_D2	38.224476	-122.019341	38	6.72	149.79	751	11.19	6.49	0.443	5.93	0.17	30.62	19	0.066	141	932	47250	54	s127	W65	6.37	12.19	1.318	NA	1.096	134.596	1837.17	5.322	0.338	873570.11	120862.5	98217.43	29368.2	1089.39	80	5951.83	17.85	15237.92	2.21	9.07	10.53
100	43	66	72	RushSE_TuleB_D1	1072580	3_16_2017	2	c	3300014305	Ga0075349	Gp0116115	RushRanch	Rush_SE	Tule	SF_Ref	Meso	Ref	d1	9/24/17	6.473276176	12.4	18.2	9853	28.49100135	0.648202689	4.661104515	145.4819003	0.015909939	0.69930303	132354	s043_RushSE_TuleB_D1	38.224476	-122.019341	27.4	7.17	233.28	644.3	12.71	7.37	0.54	7.22	NA	25.94	35.5	0.1	NA	NA	NA	NA	s043	W66	6.47	20.76	NA	NA	4.887	136.23	2489.4485	8.424	0.6935	1171654.91	157657.2	113830.35	39718.65	1301.26	217.33	7973.61	19.81	19676.06	0.84	10.96	4
101	128	67	73	RushSE_TuleB_D2	1048076	4_3_2015	1	b	3300004146	Ga0055495	Gp0101380	RushRanch	Rush_SE	Tule	SF_Ref	Meso	Ref	d2	9/24/17	6.473276176	12.4	18.2	9853	28.49100135	0.648202689	4.661104515	145.4819003	0.015909939	0.69930303	132354	s128_RushSE_TuleB_D2	38.224476	-122.019341	34.6	6.8	179.55	730.1	11.42	6.63	0.46	6.17	NA	20.23	14.4	0.08	139	843	47330	51	s128	W66	6.47	20.76	NA	NA	4.887	136.23	2489.4485	8.424	0.6935	1171654.91	157657.2	113830.35	39718.65	1301.26	217.33	7973.61	19.81	19676.06	0.84	10.96	4
102	44	68	74	RushSE_TuleC_D1	1072581	3_16_2017	2	c	3300014315	Ga0075350	Gp0116116	RushRanch	Rush_SE	Tule	SF_Ref	Meso	Ref	d1	9/24/17	7.180456676	11.8	18.5	10921	37.66105398	0.116345186	6.161317625	26.11238599	0.002855657	0.924379205	138045	s044_RushSE_TuleC_D1	38.224476	-122.019341	32.2	7.09	196.72	512.7	12	6.96	0.533	6.77	0.2	17.71	34.6	0.12	NA	NA	NA	NA	s044	W67	7.18	18.71	NA	0.2165	NA	318.9515	3413.2325	11.277	0.6125	1587197.8	213406.24	146034.22	46547.33	2195.76	19.56	4829.86	19.51	12212.34	2.84	19.84	15.13
103	129	69	75	RushSE_TuleC_D2	1048079	3_20_2015	1	b	3300004057	Ga0055496	Gp0101381	RushRanch	Rush_SE	Tule	SF_Ref	Meso	Ref	d2	9/24/17	7.180456676	11.8	18.5	10921	37.66105398	0.116345186	6.161317625	26.11238599	0.002855657	0.924379205	138045	s129_RushSE_TuleC_D2	38.224476	-122.019341	33.5	6.83	210.45	570.7	9.84	5.71	0.397	5.07	0.36	12.16	24.4	0.084	140	774	40220	52	s129	W67	7.18	18.71	NA	0.2165	NA	318.9515	3413.2325	11.277	0.6125	1587197.8	213406.24	146034.22	46547.33	2195.76	19.56	4829.86	19.51	12212.34	2.84	19.84	15.13
92	45	70	64	RushSE_CattailNLA_D1	1072576	3_16_2017	2	c	3300014312	Ga0075345	Gp0116111	RushRanch	Rush_SE	CattailNL	SF_Ref	Meso	Ref	d1	9/24/17	6.488424734	12.6	20.8	10454	12.41783771	0.02158519	2.031548092	4.844556408	0.000529802	0.304792079	147960	s045_RushSE_CattailNLA_D1	38.224518	-122.019257	31.2	7.09	183.63	624.7	13.55	7.86	0.566	7.29	0.24	30.9	34.9	0.104	NA	NA	NA	NA	s045	W62	6.49	16.98	NA	1.1505	NA	148.5035	2985.1525	9.8605	0.5145	1388465.8	192358.27	132137.2	40667.76	1981.69	31.19	7636	19.82	21261.89	1.51	15.54	12.47
93	130	71	65	RushSE_CattailNLA_D2	1048064	3_19_2015	1	b	3300004050	Ga0055491	Gp0101376	RushRanch	Rush_SE	CattailNL	SF_Ref	Meso	Ref	d2	9/24/17	6.488424734	12.6	20.8	10454	12.41783771	0.02158519	2.031548092	4.844556408	0.000529802	0.304792079	147960	s130_RushSE_CattailNLA_D2	38.224518	-122.019257	34	6.88	170.3	632	11.61	6.73	0.432	6.04	0.21	15.03	14.2	0.07	138	809	45980	53	s130	W62	6.49	16.98	NA	1.1505	NA	148.5035	2985.1525	9.8605	0.5145	1388465.8	192358.27	132137.2	40667.76	1981.69	31.19	7636	19.82	21261.89	1.51	15.54	12.47
94	46	72	66	RushSE_CattailNLB_D1	1072577	3_16_2017	2	c	3300014306	Ga0075346	Gp0116112	RushRanch	Rush_SE	CattailNL	SF_Ref	Meso	Ref	d1	9/24/17	7.4866462	12.8	19.4	11580	14.711713	0.012579821	2.406824212	2.823401205	0.000308768	0.361094556	130498	s046_RushSE_CattailNLB_D1	38.224518	-122.019257	32.2	7.02	200.33	841.9	12.23	7.09	0.524	6.67	0.17	14.43	15.3	0.081	NA	NA	NA	NA	s046	W63	7.49	17.78	0.421	0.5535	0.9605	269.369	2950.139	9.5885	0.445	1434498.8	184637.59	125532.96	41970.3	1862.54	23.59	6301.25	23.94	15102.86	1.37	17.4	20.83
95	131	73	67	RushSE_CattailNLB_D2	1048067	3_19_2015	1	b	3300004051	Ga0055492	Gp0101377	RushRanch	Rush_SE	CattailNL	SF_Ref	Meso	Ref	d2	9/24/17	7.4866462	12.8	19.4	11580	14.711713	0.012579821	2.406824212	2.823401205	0.000308768	0.361094556	130498	s131_RushSE_CattailNLB_D2	38.224518	-122.019257	32.5	6.85	190.52	758.2	11.94	6.92	0.438	6.23	NA	22.97	16.7	0.068	136	855	45910	52	s131	W63	7.49	17.78	0.421	0.5535	0.9605	269.369	2950.139	9.5885	0.445	1434498.8	184637.59	125532.96	41970.3	1862.54	23.59	6301.25	23.94	15102.86	1.37	17.4	20.83
96	47	74	68	RushSE_CattailNLC_D1	1072578	3_16_2017	2	c	3300014313	Ga0075347	Gp0116113	RushRanch	Rush_SE	CattailNL	SF_Ref	Meso	Ref	d1	9/24/17	7.406254334	12.4	18.5	11239	6.477604459	0.004719359	1.059730791	1.059207735	0.000115835	0.158990847	153276	s047_RushSE_CattailNLC_D1	38.224518	-122.019257	30.8	6.99	198.08	579.6	11.82	6.86	0.551	6.51	0.15	25.42	18.2	0.127	NA	NA	NA	NA	s047	W64	7.41	13.01	NA	0.3895	NA	314.309	2869.2955	8.9455	0.5715	1360110.13	161250.03	108370.78	36362.68	1292.32	21.86	918.46	17.67	10573.31	0.54	16.49	24.09
97	132	75	69	RushSE_CattailNLC_D2	1048070	3_19_2015	1	b	3300004049	Ga0055493	Gp0101378	RushRanch	Rush_SE	CattailNL	SF_Ref	Meso	Ref	d2	9/24/17	7.406254334	12.4	18.5	11239	6.477604459	0.004719359	1.059730791	1.059207735	0.000115835	0.158990847	153276	s132_RushSE_CattailNLC_D2	38.224518	-122.019257	36.6	6.73	173.77	372.9	10.73	6.22	0.436	5.55	0.37	17.21	18.3	0.088	144	819	42870	52	s132	W64	7.41	13.01	NA	0.3895	NA	314.309	2869.2955	8.9455	0.5715	1360110.13	161250.03	108370.78	36362.68	1292.32	21.86	918.46	17.67	10573.31	0.54	16.49	24.09
77	121	76	76	RushMan_CattailNLA_D2	1048037	5_21_2015	1	b	3300005216	Ga0068994	Gp0101367	RushRanch	Rush_man	CattailNL	SF_Rest	Meso	Restored	d2	9/19/17	8.155155217	11.6	20.1	12727	31.38608665	0.13102626	5.134738102	29.40738992	0.003216	0.770362025	136017	s121_RushMan_CattailNLA_D2	38.209923	-122.033409	19.5	6.27	236.74	629.6	27.95	16.21	0.848	15.5	0.71	45.93	9	0.07	102	417	40570	53	s121	W53	8.16	10.64	2.098	NA	NA	424.22	1898.716	5.618	0.212	1017459.48	109434.21	77463.11	29406.96	796.26	24.76	634.84	18.56	10213.22	3.17	11.85	36.7
78	122	77	77	RushMan_CattailNLB_D2	1048040	3_21_2015	1	b	3300004063	Ga0055483	Gp0101368	RushRanch	Rush_man	CattailNL	SF_Rest	Meso	Restored	d2	9/19/17	7.731226222	13	19.9	12061	15.8405615	0.109748293	2.591502904	24.63178651	0.002693739	0.388801802	145353	s122_RushMan_CattailNLB_D2	38.209923	-122.033409	28.2	6.44	206.7	434.2	24.58	14.26	0.866	13.9	0.29	32.92	11.5	0.058	80	270	28650	48	s122	W54	7.73	17.77	1.238	NA	NA	444.71	3371.94	9.732	0.378	1713573.29	199451.38	110713.13	54383.25	1450.55	44.13	623.05	31.94	15192.38	1.17	18.58	25.84
79	39	78	78	RushMan_CattailNLC_D1	1072570	3_16_2017	2	c	3300014316	Ga0075339	Gp0116105	RushRanch	Rush_man	CattailNL	SF_Rest	Meso	Restored	d1	9/19/17	8.391195087	12.8	20.3	13124	9.176565251	0.031120812	1.501278568	6.984720829	0.000763851	0.225236025	131328	s039_RushMan_CattailNLC_D1	38.209923	-122.033409	23.8	6.36	262.17	836.6	15.78	9.15	0.653	8.7	0.34	36.53	22.4	0.077	NA	NA	NA	NA	s039	W55	8.39	21.41	2.252	NA	NA	395.166	3136.694	9.402	0.394	1586049.41	191270.71	111180.37	50598.08	1372.5	239.08	723.68	23.69	14675.03	0.95	16.73	20.19
80	123	79	79	RushMan_CattailNLC_D2	1048043	3_21_2015	1	b	3300004066	Ga0055484	Gp0101369	RushRanch	Rush_man	CattailNL	SF_Rest	Meso	Restored	d2	9/19/17	8.391195087	12.8	20.3	13124	9.176565251	0.031120812	1.501278568	6.984720829	0.000763851	0.225236025	131328	s123_RushMan_CattailNLC_D2	38.209923	-122.033409	21.4	6.6	233.85	629.3	19.98	11.59	0.606	10.56	0.71	32.34	9.8	0.061	114	437	44950	63	s123	W55	8.39	21.41	2.252	NA	NA	395.166	3136.694	9.402	0.394	1586049.41	191270.71	111180.37	50598.08	1372.5	239.08	723.68	23.69	14675.03	0.95	16.73	20.19
