"TS_tax"	"Sandmound_TuleA_D1"	"Sandmound_TuleA_D2"	"Sandmound_TuleB_D1"	"Sandmound_TuleB_D2"	"Sandmound_TuleC_D1"	"Sandmound_TuleC_D2"	"Sandmound_ThreeSqA_D1_rd"	"Sandmound_ThreeSqA_D2"	"Sandmound_ThreeSqB_D1"	"Sandmound_ThreeSqB_D2"	"Sandmound_ThreeSqC_D1"	"Sandmound_ThreeSqC_D2"	"WestPond_TuleA_D2"	"WestPond_TuleB_D1"	"WestPond_TuleB_D2"	"WestPond_TuleC_D1"	"WestPond_TuleC_D2"	"WestPond_CattailA_D1"	"WestPond_CattailA_D2"	"WestPond_CattailB_D1"	"WestPond_CattailB_D2"	"WestPond_CattailC_D2"	"WestPond_TuleA_D1"	"MayberryNE_TuleA_D1"	"MayberryNE_TuleA_D2"	"MayberryNE_TuleB_D1"	"MayberryNE_TuleB_D2"	"MayberryNE_TuleC_D1"	"MayberryNE_TuleC_D2"	"MayberryNE_CattailA_D1"	"MayberryNE_CattailA_D2"	"MayberryNE_CattailB_D1"	"MayberryNE_CattailB_D2"	"MayberryNE_CattailC_D1"	"MayberryNE_CattailC_D2"	"MayberrySE_CattailA_D1"	"MayberrySE_CattailA_D2"	"MayberrySE_CattailB_D1"	"MayberrySE_TuleA_D1"	"MayberryNW_TuleA_D1"	"MayberryNW_TuleA_D2"	"MayberryNW_TuleB_D1"	"MayberryNW_TuleB_D2"	"MayberryNW_TuleC_D1"	"MayberryNW_TuleC_D2"	"MayberryNW_CattailA_D1"	"MayberryNW_CattailA_D2"	"MayberryNW_CattailB_D1"	"MayberryNW_CattailB_D2"	"MayberryNW_CattailC_D1"	"MayberryNW_CattailC_D2"	"Browns_TuleA_D1"	"Browns_TuleA_D2"	"Browns_TuleB_D1"	"Browns_TuleB_D2"	"Browns_TuleC_D1"	"Browns_TuleC_D2"	"Browns_ThreeSqA_D1"	"Browns_ThreeSqA_D2"	"Browns_ThreeSqB_D1"	"Browns_ThreeSqB_D2"	"Browns_ThreeSqC_D1"	"Browns_ThreeSqC_D2"	"RushSE_TuleA_D1"	"RushSE_TuleA_D2"	"RushSE_TuleB_D1"	"RushSE_TuleB_D2"	"RushSE_TuleC_D1"	"RushSE_TuleC_D2"	"RushSE_CattailNLA_D1"	"RushSE_CattailNLA_D2"	"RushSE_CattailNLB_D1"	"RushSE_CattailNLB_D2"	"RushSE_CattailNLC_D1"	"RushSE_CattailNLC_D2"	"RushMan_CattailNLA_D2"	"RushMan_CattailNLB_D2"	"RushMan_CattailNLC_D1"	"RushMan_CattailNLC_D2"	"RushMan_ThreeSqA_D1"	"RushMan_ThreeSqA_D2"	"RushMan_ThreeSqB_D1"	"RushMan_ThreeSqB_D2"	"RushMan_ThreeSqC_D2"	"RushOxbow_ThreeSqA_D1"	"RushOxbow_ThreeSqA_D2"	"RushOxbow_ThreeSqB_D1"	"RushOxbow_ThreeSqB_D2"	"RushOxbow_ThreeSqC_D1"	"RushOxbow_ThreeSqC_D2"	"Joice_CattailNLA_D1"	"Joice_CattailNLA_D2"	"Joice_CattailNLB_D1"	"Joice_CattailNLB_D2"	"Joice_CattailNLC_D1"	"Joice_CattailNLC_D2"	"Joice_ThreeSqA_D1"	"Joice_ThreeSqA_D1_rd"	"Joice_ThreeSqA_D2"	"Joice_ThreeSqA_D2_rd"	"Joice_ThreeSqB_D1"	"Joice_ThreeSqC_D1"	"Joice_ThreeSqC_D2"	"Goodyear_PhragA_D2"	"Goodyear_PhragC_D2"	"White_CordA_D2"	"White_CordB_D2"	"White_ThreeSqA_D1"	"White_ThreeSqA_D2"	"White_ThreeSqB_D1"	"White_ThreeSqB_D2"	"White_ThreeSqC_D1"	"White_ThreeSqC_D2"	"Tolay_CordA_D2"	"Tolay_CordB_D2"	"Tolay_CordC_D2"	"China_Galinas_CordA_D2"	"China_Galinas_CordB_D2"	"China_Galinas_CordC_D2"	"China_Galinas_PWA_D1"	"China_Galinas_PWA_D2"	"China_Galinas_PWB_D1"	"China_Galinas_PWB_D2"	"China_Galinas_PWC_D1"	"China_Bullhead_CordA_D2"	"China_Bullhead_CordB_D2"	"China_Bullhead_CordC_D2"	"China_Galinas_PWC_D2"	"Muzzi_CordA_D2"	"Muzzi_CordB_D2"	"Muzzi_CordC_D2"	"Muzzi_PWA_D1"	"Muzzi_PWA_D2"	"Muzzi_PWB_D1"	"Muzzi_PWB_D2"	"Muzzi_PWC_D1"	"Muzzi_PWC_D2"	"Kingdom"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"Species"	"species"
"403"	"DsrA-red_Root; Bacteria; Thermodesulfobacteria"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	" Bacteria"	" Thermodesulfobacteria"	" ThermodesulfobacteriaPH"	" ThermodesulfobacteriaPH"	" ThermodesulfobacteriaPH"	" ThermodesulfobacteriaPH"	" ThermodesulfobacteriaPH"	""
"404"	"DsrA-red_Root; Bacteria; Thermodesulfobacteria; Thermodesulfobacteria"	0	0	1	5	1	0	0	0	0	0	0	2	0	0	0	0	1	0	1	0	1	1	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	3	1	0	0	1	0	1	0	2	3	0	0	0	0	0	1	0	0	0	2	1	1	1	1	1	0	0	1	0	1	1	1	0	3	2	0	1	2	1	1	1	1	1	1	1	0	0	0	0	0	0	1	6	1	0	1	1	0	2	1	2	2	3	3	0	2	1	0	0	3	0	1	6	2	1	1	2	2	1	0	2	1	1	0	4	0	2	2	1	1	0	1	0	1	1	1	" Bacteria"	" Thermodesulfobacteria"	" Thermodesulfobacteria"	" ThermodesulfobacteriaCL"	" ThermodesulfobacteriaCL"	" ThermodesulfobacteriaCL"	" ThermodesulfobacteriaCL"	""
"405"	"DsrA-red_Root; Bacteria; Thermodesulfobacteria; Thermodesulfobacteria; Thermodesulfobacteriales"	7	4	3	9	0	2	1	1	0	1	2	3	1	1	4	1	4	0	0	0	0	2	0	1	3	4	0	0	2	1	1	0	0	0	0	1	1	0	0	1	2	3	1	1	4	0	2	1	0	4	1	1	3	0	0	0	8	3	5	0	10	3	5	2	5	1	5	1	7	3	1	0	1	5	5	4	2	2	1	2	2	3	3	9	4	3	1	2	1	0	1	8	1	1	4	2	6	1	1	4	8	9	13	3	10	2	4	0	7	1	5	3	5	7	3	2	3	2	0	1	1	0	3	3	2	5	3	4	9	2	3	2	2	0	0	3	3	" Bacteria"	" Thermodesulfobacteria"	" Thermodesulfobacteria"	" Thermodesulfobacteriales"	" ThermodesulfobacterialesOR"	" ThermodesulfobacterialesOR"	" ThermodesulfobacterialesOR"	""
"406"	"DsrA-red_Root; Bacteria; Thermodesulfobacteria; Thermodesulfobacteria; Thermodesulfobacteriales; Thermodesulfobacteriaceae"	0	1	3	2	2	0	1	0	0	1	1	1	0	0	2	0	0	0	0	0	1	1	0	1	1	0	0	0	1	1	0	1	1	0	0	0	0	0	0	0	3	0	1	0	0	2	0	1	2	1	1	0	0	0	0	2	4	1	2	0	2	0	2	2	3	2	1	0	2	0	1	1	0	0	4	4	5	0	2	0	6	3	4	4	1	0	2	0	0	1	0	4	1	2	1	1	2	0	0	0	3	6	4	8	1	1	6	0	2	1	3	4	1	9	7	0	1	1	0	0	3	3	3	0	0	5	1	3	1	0	0	3	1	0	3	1	8	" Bacteria"	" Thermodesulfobacteria"	" Thermodesulfobacteria"	" Thermodesulfobacteriales"	" Thermodesulfobacteriaceae"	" ThermodesulfobacteriaceaeFA"	" ThermodesulfobacteriaceaeFA"	""
"407"	"DsrA-red_Root; Bacteria; Thermodesulfobacteria; Thermodesulfobacteria; Thermodesulfobacteriales; Thermodesulfobacteriaceae; Caldimicrobium"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	" Bacteria"	" Thermodesulfobacteria"	" Thermodesulfobacteria"	" Thermodesulfobacteriales"	" Thermodesulfobacteriaceae"	" Caldimicrobium"	" CaldimicrobiumGE"	""
"408"	"DsrA-red_Root; Bacteria; Thermodesulfobacteria; Thermodesulfobacteria; Thermodesulfobacteriales; Thermodesulfobacteriaceae; Thermodesulfatator"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	" Bacteria"	" Thermodesulfobacteria"	" Thermodesulfobacteria"	" Thermodesulfobacteriales"	" Thermodesulfobacteriaceae"	" Thermodesulfatator"	" ThermodesulfatatorGE"	""
"409"	"DsrA-red_Root; Bacteria; Thermodesulfobacteria; Thermodesulfobacteria; Thermodesulfobacteriales; Thermodesulfobacteriaceae; Thermodesulfobacterium"	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	" Bacteria"	" Thermodesulfobacteria"	" Thermodesulfobacteria"	" Thermodesulfobacteriales"	" Thermodesulfobacteriaceae"	" Thermodesulfobacterium"	" ThermodesulfobacteriumGE"	""
"410"	"DsrA-red_Root; Bacteria; Thermodesulfobacteria; Thermodesulfobacteria; Thermodesulfobacteriales; Thermodesulfobacteriaceae; Thermosulfurimonas"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	" Bacteria"	" Thermodesulfobacteria"	" Thermodesulfobacteria"	" Thermodesulfobacteriales"	" Thermodesulfobacteriaceae"	" Thermosulfurimonas"	" ThermosulfurimonasGE"	""
"414"	"DsrB-ox_Root; Bacteria; Chlorobi"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	0	1	1	0	0	0	1	4	4	2	0	4	1	8	0	6	" Bacteria"	" Chlorobi"	" ChlorobiPH"	" ChlorobiPH"	" ChlorobiPH"	" ChlorobiPH"	" ChlorobiPH"	""
"415"	"DsrB-ox_Root; Bacteria; Chlorobi; Chlorobia"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	2	0	0	0	4	5	7	5	3	0	0	0	2	7	3	1	1	5	0	3	0	13	" Bacteria"	" Chlorobi"	" Chlorobia"	" ChlorobiaCL"	" ChlorobiaCL"	" ChlorobiaCL"	" ChlorobiaCL"	""
"416"	"DsrB-ox_Root; Bacteria; Chlorobi; Chlorobia; Chlorobiales"	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	1	0	0	0	1	0	1	0	1	0	0	0	0	1	0	0	1	0	0	0	1	1	1	0	1	2	0	1	0	1	0	0	0	0	1	0	0	7	3	2	0	2	0	0	4	0	5	1	1	6	0	4	2	13	" Bacteria"	" Chlorobi"	" Chlorobia"	" Chlorobiales"	" ChlorobialesOR"	" ChlorobialesOR"	" ChlorobialesOR"	""
"417"	"DsrB-ox_Root; Bacteria; Chlorobi; Chlorobia; Chlorobiales; Chlorobiaceae"	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	2	0	1	0	0	0	1	2	0	0	0	2	0	0	0	0	0	0	1	2	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	2	0	0	0	0	0	2	0	1	0	0	0	1	0	0	0	1	1	0	0	0	2	0	0	1	2	0	0	1	1	0	0	0	6	7	5	0	0	2	0	6	3	8	5	0	13	0	6	0	16	" Bacteria"	" Chlorobi"	" Chlorobia"	" Chlorobiales"	" Chlorobiaceae"	" ChlorobiaceaeFA"	" ChlorobiaceaeFA"	""
"418"	"DsrB-ox_Root; Bacteria; Chlorobi; Chlorobia; Chlorobiales; Chlorobiaceae; Chlorobaculum"	0	0	0	0	0	0	0	0	0	0	0	0	2	0	4	0	0	0	0	0	2	0	0	0	0	19	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	" Bacteria"	" Chlorobi"	" Chlorobia"	" Chlorobiales"	" Chlorobiaceae"	" Chlorobaculum"	" ChlorobaculumGE"	""
"419"	"DsrB-ox_Root; Bacteria; Chlorobi; Chlorobia; Chlorobiales; Chlorobiaceae; Chlorobaculum; Chlorobaculum parvum"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	" Bacteria"	" Chlorobi"	" Chlorobia"	" Chlorobiales"	" Chlorobiaceae"	" Chlorobaculum"	" Chlorobaculum parvum"	" Chlorobaculum parvum"
"420"	"DsrB-ox_Root; Bacteria; Chlorobi; Chlorobia; Chlorobiales; Chlorobiaceae; Chlorobaculum; Chlorobaculum tepidum"	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	29	8	1	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	" Bacteria"	" Chlorobi"	" Chlorobia"	" Chlorobiales"	" Chlorobiaceae"	" Chlorobaculum"	" Chlorobaculum tepidum"	" Chlorobaculum tepidum"
"421"	"DsrB-ox_Root; Bacteria; Chlorobi; Chlorobia; Chlorobiales; Chlorobiaceae; Chlorobium"	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	3	0	3	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	" Bacteria"	" Chlorobi"	" Chlorobia"	" Chlorobiales"	" Chlorobiaceae"	" Chlorobium"	" ChlorobiumGE"	""
"422"	"DsrB-ox_Root; Bacteria; Chlorobi; Chlorobia; Chlorobiales; Chlorobiaceae; Chlorobium; Chlorobium chlorochromatii"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	" Bacteria"	" Chlorobi"	" Chlorobia"	" Chlorobiales"	" Chlorobiaceae"	" Chlorobium"	" Chlorobium chlorochromatii"	" Chlorobium chlorochromatii"
"423"	"DsrB-ox_Root; Bacteria; Chlorobi; Chlorobia; Chlorobiales; Chlorobiaceae; Chlorobium; Chlorobium limicola"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	5	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	" Bacteria"	" Chlorobi"	" Chlorobia"	" Chlorobiales"	" Chlorobiaceae"	" Chlorobium"	" Chlorobium limicola"	" Chlorobium limicola"
"424"	"DsrB-ox_Root; Bacteria; Chlorobi; Chlorobia; Chlorobiales; Chlorobiaceae; Chlorobium; Chlorobium phaeobacteroides"	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	" Bacteria"	" Chlorobi"	" Chlorobia"	" Chlorobiales"	" Chlorobiaceae"	" Chlorobium"	" Chlorobium phaeobacteroides"	" Chlorobium phaeobacteroides"
"425"	"DsrB-ox_Root; Bacteria; Chlorobi; Chlorobia; Chlorobiales; Chlorobiaceae; Prosthecochloris"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	" Bacteria"	" Chlorobi"	" Chlorobia"	" Chlorobiales"	" Chlorobiaceae"	" Prosthecochloris"	" ProsthecochlorisGE"	""
"426"	"DsrB-ox_Root; Bacteria; Proteobacteria"	0	5	5	13	5	4	3	3	4	7	3	5	9	4	13	5	14	1	8	2	14	9	2	1	0	8	0	0	1	1	0	1	1	0	0	3	2	0	3	0	3	6	6	0	9	0	5	0	4	3	1	0	4	0	3	1	2	2	6	0	8	3	5	1	5	2	15	4	11	2	21	4	15	5	8	20	17	2	11	1	10	0	9	7	1	1	2	3	2	6	1	17	0	16	0	7	9	2	9	2	5	7	5	7	8	19	8	8	25	17	14	7	11	21	14	23	35	18	17	5	33	13	9	13	25	12	24	6	13	27	20	6	7	8	5	4	13	" Bacteria"	" Proteobacteria"	" ProteobacteriaPH"	" ProteobacteriaPH"	" ProteobacteriaPH"	" ProteobacteriaPH"	" ProteobacteriaPH"	""
"427"	"DsrB-ox_Root; Bacteria; Proteobacteria; Alphaproteobacteria"	0	0	0	0	0	0	0	0	0	1	0	0	2	1	0	0	1	0	1	2	1	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	1	6	2	3	5	1	1	1	9	3	2	4	2	0	0	1	2	0	0	0	2	0	0	2	0	1	0	1	0	2	0	2	1	0	0	0	0	2	2	1	0	4	1	3	4	7	2	4	1	1	2	7	8	6	12	4	1	0	5	3	7	2	4	7	5	3	4	4	6	7	1	13	0	1	3	" Bacteria"	" Proteobacteria"	" Alphaproteobacteria"	" AlphaproteobacteriaCL"	" AlphaproteobacteriaCL"	" AlphaproteobacteriaCL"	" AlphaproteobacteriaCL"	""
"428"	"DsrB-ox_Root; Bacteria; Proteobacteria; Alphaproteobacteria; Magnetococcales"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	1	0	0	0	0	0	1	0	0	3	0	0	0	0	" Bacteria"	" Proteobacteria"	" Alphaproteobacteria"	" Magnetococcales"	" MagnetococcalesOR"	" MagnetococcalesOR"	" MagnetococcalesOR"	""
"429"	"DsrB-ox_Root; Bacteria; Proteobacteria; Alphaproteobacteria; Magnetococcales; Magnetococcaceae"	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	1	0	2	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	2	0	3	1	0	0	0	0	0	0	2	6	1	4	0	0	0	0	7	0	1	2	2	8	0	4	0	3	" Bacteria"	" Proteobacteria"	" Alphaproteobacteria"	" Magnetococcales"	" Magnetococcaceae"	" MagnetococcaceaeFA"	" MagnetococcaceaeFA"	""
"430"	"DsrB-ox_Root; Bacteria; Proteobacteria; Alphaproteobacteria; Magnetococcales; Magnetococcaceae; Magnetococcus"	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	1	2	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	2	0	0	0	2	0	1	0	4	0	0	0	0	0	0	0	7	1	5	1	0	0	0	5	1	10	7	0	4	0	5	1	16	" Bacteria"	" Proteobacteria"	" Alphaproteobacteria"	" Magnetococcales"	" Magnetococcaceae"	" Magnetococcus"	" MagnetococcusGE"	""
"431"	"DsrB-ox_Root; Bacteria; Proteobacteria; Alphaproteobacteria; Magnetococcales; Magnetococcaceae; Magnetococcus; Magnetococcus marinus"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	" Bacteria"	" Proteobacteria"	" Alphaproteobacteria"	" Magnetococcales"	" Magnetococcaceae"	" Magnetococcus"	" Magnetococcus marinus"	" Magnetococcus marinus"
"432"	"DsrB-ox_Root; Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	" Bacteria"	" Proteobacteria"	" Alphaproteobacteria"	" Rhizobiales"	" RhizobialesOR"	" RhizobialesOR"	" RhizobialesOR"	""
